*******************************************************************************
 2014-May-05 00:00     4.0102686847E+08   1.677353   5.998795
 2014-May-06 00:00     4.0128879797E+08   1.744520   5.848024
 2014-May-07 00:00     4.0154788724E+08   1.811564   5.697441
 2014-May-08 00:00     4.0180413782E+08   1.878487   5.547042
 2014-May-09 00:00     4.0205755124E+08   1.945292   5.396826
 2014-May-10 00:00     4.0230812901E+08   2.011980   5.246790
 2014-May-11 00:00     4.0255587263E+08   2.078554   5.096932
 2014-May-12 00:00     4.0280078357E+08   2.145016   4.947251
 2014-May-13 00:00     4.0304286332E+08   2.211367   4.797743
 2014-May-14 00:00     4.0328211330E+08   2.277611   4.648406
 2014-May-15 00:00     4.0351853497E+08   2.343749   4.499239
 2014-May-16 00:00     4.0375212973E+08   2.409783   4.350239
 2014-May-17 00:00     4.0398289898E+08   2.475715   4.201405
 2014-May-18 00:00     4.0421084412E+08   2.541548   4.052732
 2014-May-19 00:00     4.0443596651E+08   2.607283   3.904221
 2014-May-20 00:00     4.0465826750E+08   2.672923   3.755868
 2014-May-21 00:00     4.0487774844E+08   2.738469   3.607672
 2014-May-22 00:00     4.0509441064E+08   2.803923   3.459630
 2014-May-23 00:00     4.0530825540E+08   2.869287   3.311741
 2014-May-24 00:00     4.0551928403E+08   2.934564   3.164001
 2014-May-25 00:00     4.0572749778E+08   2.999755   3.016410
 2014-May-26 00:00     4.0593289792E+08   3.064863   2.868964
 2014-May-27 00:00     4.0613548568E+08   3.129888   2.721662
 2014-May-28 00:00     4.0633526230E+08   3.194833   2.574503
 2014-May-29 00:00     4.0653222897E+08   3.259701   2.427483
 2014-May-30 00:00     4.0672638689E+08   3.324492   2.280601
 2014-May-31 00:00     4.0691773723E+08   3.389208   2.133854
 2014-Jun-01 00:00     4.0710628115E+08   3.453853   1.987242
 2014-Jun-02 00:00     4.0729201979E+08   3.518426   1.840761
 2014-Jun-03 00:00     4.0747495429E+08   3.582931   1.694409
 2014-Jun-04 00:00     4.0765508574E+08   3.647369   1.548186
 2014-Jun-05 00:00     4.0783241524E+08   3.711742   1.402088
 2014-Jun-06 00:00     4.0800694388E+08   3.776052   1.256114
 2014-Jun-07 00:00     4.0817867269E+08   3.840300   1.110261
 2014-Jun-08 00:00     4.0834760274E+08   3.904488   0.964529
 2014-Jun-09 00:00     4.0851373505E+08   3.968619   0.818914
 2014-Jun-10 00:00     4.0867707063E+08   4.032693   0.673415
 2014-Jun-11 00:00     4.0883761046E+08   4.096714   0.528030
 2014-Jun-12 00:00     4.0899535554E+08   4.160681   0.382757
