*******************************************************************************
 2014-Mar-18 00:00     1.9817863211E+08 275.912453  72.771188
 2014-Mar-19 00:00     1.9883597114E+08 278.088453  72.758070
 2014-Mar-20 00:00     1.9949332620E+08 280.244164  72.721927
 2014-Mar-21 00:00     2.0015061527E+08 282.374396  72.663354
 2014-Mar-22 00:00     2.0080775797E+08 284.474345  72.583016
 2014-Mar-23 00:00     2.0146467548E+08 286.539646  72.481644
 2014-Mar-24 00:00     2.0212129059E+08 288.566414  72.360017
 2014-Mar-25 00:00     2.0277752761E+08 290.551269  72.218956
 2014-Mar-26 00:00     2.0343331240E+08 292.491346  72.059314
 2014-Mar-27 00:00     2.0408857232E+08 294.384293  71.881965
 2014-Mar-28 00:00     2.0474323620E+08 296.228254  71.687793
 2014-Mar-29 00:00     2.0539723435E+08 298.021847  71.477687
 2014-Mar-30 00:00     2.0605049850E+08 299.764135  71.252528
 2014-Mar-31 00:00     2.0670296178E+08 301.454581  71.013188
 2014-Apr-01 00:00     2.0735455875E+08 303.093019  70.760521
 2014-Apr-02 00:00     2.0800522529E+08 304.679603  70.495357
 2014-Apr-03 00:00     2.0865489865E+08 306.214773  70.218501
 2014-Apr-04 00:00     2.0930351739E+08 307.699209  69.930728
 2014-Apr-05 00:00     2.0995102135E+08 309.133795  69.632782
 2014-Apr-06 00:00     2.1059735168E+08 310.519585  69.325374
 2014-Apr-07 00:00     2.1124245076E+08 311.857767  69.009179
 2014-Apr-08 00:00     2.1188626217E+08 313.149634  68.684842
 2014-Apr-09 00:00     2.1252873076E+08 314.396558  68.352969
 2014-Apr-10 00:00     2.1316980250E+08 315.599970  68.014136
 2014-Apr-11 00:00     2.1380942456E+08 316.761334  67.668884
 2014-Apr-12 00:00     2.1444754523E+08 317.882135  67.317722
 2014-Apr-13 00:00     2.1508411394E+08 318.963862  66.961128
 2014-Apr-14 00:00     2.1571908119E+08 320.007996  66.599552
 2014-Apr-15 00:00     2.1635239858E+08 321.016001  66.233414
 2014-Apr-16 00:00     2.1698401876E+08 321.989317  65.863107
 2014-Apr-17 00:00     2.1761389540E+08 322.929349  65.488998
 2014-Apr-18 00:00     2.1824198320E+08 323.837468  65.111433
 2014-Apr-19 00:00     2.1886823786E+08 324.715003  64.730731
 2014-Apr-20 00:00     2.1949261603E+08 325.563241  64.347191
 2014-Apr-21 00:00     2.2011507534E+08 326.383421  63.961093
 2014-Apr-22 00:00     2.2073557435E+08 327.176740  63.572696
 2014-Apr-23 00:00     2.2135407254E+08 327.944346  63.182244
 2014-Apr-24 00:00     2.2197053028E+08 328.687340  62.789961
 2014-Apr-25 00:00     2.2258490883E+08 329.406778  62.396058
 2014-Apr-26 00:00     2.2319717031E+08 330.103670  62.000731
 2014-Apr-27 00:00     2.2380727769E+08 330.778981  61.604162
 2014-Apr-28 00:00     2.2441519476E+08 331.433634  61.206521
 2014-Apr-29 00:00     2.2502088614E+08 332.068510  60.807964
 2014-Apr-30 00:00     2.2562431721E+08 332.684448  60.408639
 2014-May-01 00:00     2.2622545416E+08 333.282248  60.008683
 2014-May-02 00:00     2.2682426393E+08 333.862675  59.608222
 2014-May-03 00:00     2.2742071420E+08 334.426454  59.207374
 2014-May-04 00:00     2.2801477339E+08 334.974280  58.806248
 2014-May-05 00:00     2.2860641063E+08 335.506811  58.404948
 2014-May-06 00:00     2.2919559575E+08 336.024677  58.003567
 2014-May-07 00:00     2.2978229927E+08 336.528475  57.602193
 2014-May-08 00:00     2.3036649237E+08 337.018776  57.200908
 2014-May-09 00:00     2.3094814688E+08 337.496122  56.799787
 2014-May-10 00:00     2.3152723530E+08 337.961031  56.398902
 2014-May-11 00:00     2.3210373073E+08 338.413996  55.998318
 2014-May-12 00:00     2.3267760691E+08 338.855485  55.598094
 2014-May-13 00:00     2.3324883815E+08 339.285945  55.198287
 2014-May-14 00:00     2.3381739937E+08 339.705804  54.798948
 2014-May-15 00:00     2.3438326607E+08 340.115467  54.400126
 2014-May-16 00:00     2.3494641429E+08 340.515323  54.001865
 2014-May-17 00:00     2.3550682065E+08 340.905740  53.604207
 2014-May-18 00:00     2.3606446229E+08 341.287071  53.207188
 2014-May-19 00:00     2.3661931689E+08 341.659654  52.810843
 2014-May-20 00:00     2.3717136262E+08 342.023808  52.415206
 2014-May-21 00:00     2.3772057819E+08 342.379842  52.020304
 2014-May-22 00:00     2.3826694279E+08 342.728047  51.626166
 2014-May-23 00:00     2.3881043607E+08 343.068705  51.232816
 2014-May-24 00:00     2.3935103819E+08 343.402082  50.840277
 2014-May-25 00:00     2.3988872975E+08 343.728435  50.448569
 2014-May-26 00:00     2.4042349180E+08 344.048008  50.057711
 2014-May-27 00:00     2.4095530584E+08 344.361036  49.667721
 2014-May-28 00:00     2.4148415380E+08 344.667742  49.278614
 2014-May-29 00:00     2.4201001804E+08 344.968341  48.890403
 2014-May-30 00:00     2.4253288132E+08 345.263039  48.503102
 2014-May-31 00:00     2.4305272681E+08 345.552032  48.116720
 2014-Jun-01 00:00     2.4356953807E+08 345.835509  47.731269
 2014-Jun-02 00:00     2.4408329906E+08 346.113651  47.346757
 2014-Jun-03 00:00     2.4459399410E+08 346.386631  46.963192
 2014-Jun-04 00:00     2.4510160789E+08 346.654616  46.580579
 2014-Jun-05 00:00     2.4560612550E+08 346.917766  46.198925
 2014-Jun-06 00:00     2.4610753233E+08 347.176233  45.818234
 2014-Jun-07 00:00     2.4660581414E+08 347.430165  45.438510
 2014-Jun-08 00:00     2.4710095704E+08 347.679704  45.059755
 2014-Jun-09 00:00     2.4759294743E+08 347.924984  44.681973
 2014-Jun-10 00:00     2.4808177207E+08 348.166138  44.305165
 2014-Jun-11 00:00     2.4856741803E+08 348.403289  43.929331
 2014-Jun-12 00:00     2.4904987268E+08 348.636560  43.554471
 2014-Jun-13 00:00     2.4952912368E+08 348.866067  43.180586
