*******************************************************************************
 2014-May-03 00:00     2.5557859826E+08 334.569208  44.304620
 2014-May-04 00:00     2.5643662243E+08 334.934334  43.996767
 2014-May-05 00:00     2.5729226403E+08 335.293294  43.689822
 2014-May-06 00:00     2.5814549706E+08 335.646256  43.383803
 2014-May-07 00:00     2.5899629629E+08 335.993382  43.078731
 2014-May-08 00:00     2.5984463718E+08 336.334831  42.774621
 2014-May-09 00:00     2.6069049594E+08 336.670755  42.471489
 2014-May-10 00:00     2.6153384941E+08 337.001300  42.169350
 2014-May-11 00:00     2.6237467515E+08 337.326610  41.868216
 2014-May-12 00:00     2.6321295135E+08 337.646823  41.568098
 2014-May-13 00:00     2.6404865683E+08 337.962071  41.269008
 2014-May-14 00:00     2.6488177104E+08 338.272485  40.970955
 2014-May-15 00:00     2.6571227403E+08 338.578188  40.673947
 2014-May-16 00:00     2.6654014643E+08 338.879304  40.377992
 2014-May-17 00:00     2.6736536945E+08 339.175947  40.083097
 2014-May-18 00:00     2.6818792485E+08 339.468233  39.789267
 2014-May-19 00:00     2.6900779494E+08 339.756270  39.496507
 2014-May-20 00:00     2.6982496256E+08 340.040167  39.204822
 2014-May-21 00:00     2.7063941106E+08 340.320025  38.914215
 2014-May-22 00:00     2.7145112428E+08 340.595944  38.624689
 2014-May-23 00:00     2.7226008658E+08 340.868022  38.336247
 2014-May-24 00:00     2.7306628277E+08 341.136353  38.048889
 2014-May-25 00:00     2.7386969812E+08 341.401027  37.762617
 2014-May-26 00:00     2.7467031838E+08 341.662134  37.477432
 2014-May-27 00:00     2.7546812971E+08 341.919757  37.193333
 2014-May-28 00:00     2.7626311871E+08 342.173982  36.910321
 2014-May-29 00:00     2.7705527241E+08 342.424887  36.628393
 2014-May-30 00:00     2.7784457823E+08 342.672552  36.347550
 2014-May-31 00:00     2.7863102398E+08 342.917051  36.067789
 2014-Jun-01 00:00     2.7941459789E+08 343.158460  35.789108
 2014-Jun-02 00:00     2.8019528852E+08 343.396849  35.511505
 2014-Jun-03 00:00     2.8097308483E+08 343.632287  35.234977
 2014-Jun-04 00:00     2.8174797612E+08 343.864842  34.959521
 2014-Jun-05 00:00     2.8251995204E+08 344.094579  34.685134
 2014-Jun-06 00:00     2.8328900258E+08 344.321563  34.411811
 2014-Jun-07 00:00     2.8405511807E+08 344.545854  34.139551
 2014-Jun-08 00:00     2.8481828914E+08 344.767512  33.868347
 2014-Jun-09 00:00     2.8557850674E+08 344.986597  33.598196
 2014-Jun-10 00:00     2.8633576214E+08 345.203164  33.329094
 2014-Jun-11 00:00     2.8709004687E+08 345.417269  33.061035
 2014-Jun-12 00:00     2.8784135279E+08 345.628965  32.794015
 2014-Jun-13 00:00     2.8858967201E+08 345.838305  32.528029
 2014-Jun-14 00:00     2.8933499693E+08 346.045339  32.263071
 2014-Jun-15 00:00     2.9007732022E+08 346.250116  31.999136
 2014-Jun-16 00:00     2.9081663479E+08 346.452684  31.736219
 2014-Jun-17 00:00     2.9155293381E+08 346.653091  31.474314
 2014-Jun-18 00:00     2.9228621072E+08 346.851381  31.213416
 2014-Jun-19 00:00     2.9301645916E+08 347.047598  30.953517
 2014-Jun-20 00:00     2.9374367303E+08 347.241787  30.694614
 2014-Jun-21 00:00     2.9446784645E+08 347.433988  30.436698
 2014-Jun-22 00:00     2.9518897376E+08 347.624242  30.179765
 2014-Jun-23 00:00     2.9590704952E+08 347.812590  29.923808
 2014-Jun-24 00:00     2.9662206849E+08 347.999070  29.668821
 2014-Jun-25 00:00     2.9733402565E+08 348.183720  29.414798
 2014-Jun-26 00:00     2.9804291616E+08 348.366577  29.161732
 2014-Jun-27 00:00     2.9874873539E+08 348.547675  28.909616
 2014-Jun-28 00:00     2.9945147888E+08 348.727052  28.658445
 2014-Jun-29 00:00     3.0015114238E+08 348.904740  28.408211
 2014-Jun-30 00:00     3.0084772178E+08 349.080773  28.158909
 2014-Jul-01 00:00     3.0154121319E+08 349.255183  27.910531
 2014-Jul-02 00:00     3.0223161285E+08 349.428001  27.663072
 2014-Jul-03 00:00     3.0291891719E+08 349.599260  27.416523
 2014-Jul-04 00:00     3.0360312279E+08 349.768988  27.170880
 2014-Jul-05 00:00     3.0428422637E+08 349.937216  26.926134
 2014-Jul-06 00:00     3.0496222484E+08 350.103971  26.682280
 2014-Jul-07 00:00     3.0563711522E+08 350.269282  26.439310
 2014-Jul-08 00:00     3.0630889470E+08 350.433177  26.197219
 2014-Jul-09 00:00     3.0697756059E+08 350.595681  25.955999
 2014-Jul-10 00:00     3.0764311034E+08 350.756822  25.715643
 2014-Jul-11 00:00     3.0830554156E+08 350.916623  25.476145
 2014-Jul-12 00:00     3.0896485194E+08 351.075111  25.237499
 2014-Jul-13 00:00     3.0962103934E+08 351.232310  24.999697
 2014-Jul-14 00:00     3.1027410172E+08 351.388242  24.762733
 2014-Jul-15 00:00     3.1092403715E+08 351.542933  24.526600
 2014-Jul-16 00:00     3.1157084384E+08 351.696403  24.291292
 2014-Jul-17 00:00     3.1221452009E+08 351.848676  24.056802
 2014-Jul-18 00:00     3.1285506432E+08 351.999772  23.823124
 2014-Jul-19 00:00     3.1349247506E+08 352.149714  23.590250
 2014-Jul-20 00:00     3.1412675092E+08 352.298522  23.358175
 2014-Jul-21 00:00     3.1475789065E+08 352.446216  23.126891
 2014-Jul-22 00:00     3.1538589306E+08 352.592816  22.896393
 2014-Jul-23 00:00     3.1601075707E+08 352.738342  22.666673
 2014-Jul-24 00:00     3.1663248169E+08 352.882812  22.437726
 2014-Jul-25 00:00     3.1725106602E+08 353.026244  22.209545
 2014-Jul-26 00:00     3.1786650925E+08 353.168659  21.982123
 2014-Jul-27 00:00     3.1847881066E+08 353.310072  21.755454
 2014-Jul-28 00:00     3.1908796958E+08 353.450501  21.529532
 2014-Jul-29 00:00     3.1969398547E+08 353.589964  21.304351
 2014-Jul-30 00:00     3.2029685781E+08 353.728477  21.079904
 2014-Jul-31 00:00     3.2089658621E+08 353.866056  20.856185
 2014-Aug-01 00:00     3.2149317032E+08 354.002718  20.633187
 2014-Aug-02 00:00     3.2208660987E+08 354.138479  20.410905
 2014-Aug-03 00:00     3.2267690465E+08 354.273353  20.189333
 2014-Aug-04 00:00     3.2326405453E+08 354.407355  19.968464
 2014-Aug-05 00:00     3.2384805944E+08 354.540501  19.748292
 2014-Aug-06 00:00     3.2442891937E+08 354.672806  19.528811
 2014-Aug-07 00:00     3.2500663437E+08 354.804282  19.310016
 2014-Aug-08 00:00     3.2558120455E+08 354.934944  19.091900
 2014-Aug-09 00:00     3.2615263008E+08 355.064806  18.874457
 2014-Aug-10 00:00     3.2672091119E+08 355.193881  18.657682
 2014-Aug-11 00:00     3.2728604815E+08 355.322183  18.441568
 2014-Aug-12 00:00     3.2784804129E+08 355.449723  18.226110
 2014-Aug-13 00:00     3.2840689099E+08 355.576516  18.011302
 2014-Aug-14 00:00     3.2896259768E+08 355.702572  17.797139
 2014-Aug-15 00:00     3.2951516183E+08 355.827904  17.583614
 2014-Aug-16 00:00     3.3006458398E+08 355.952525  17.370722
 2014-Aug-17 00:00     3.3061086468E+08 356.076446  17.158457
 2014-Aug-18 00:00     3.3115400454E+08 356.199678  16.946814
