*******************************************************************************
 2014-Mar-29 00:00     1.2251694686E+08 331.171057  20.764786
 2014-Mar-30 00:00     1.2287164700E+08 332.541851  20.126347
 2014-Mar-31 00:00     1.2323716766E+08 333.893555  19.481159
 2014-Apr-01 00:00     1.2361322013E+08 335.226502  18.829921
 2014-Apr-02 00:00     1.2399951213E+08 336.541042  18.173312
 2014-Apr-03 00:00     1.2439574830E+08 337.837544  17.511985
 2014-Apr-04 00:00     1.2480163071E+08 339.116392  16.846571
 2014-Apr-05 00:00     1.2521685942E+08 340.377981  16.177675
 2014-Apr-06 00:00     1.2564113292E+08 341.622714  15.505881
 2014-Apr-07 00:00     1.2607414865E+08 342.851002  14.831745
 2014-Apr-08 00:00     1.2651560343E+08 344.063262  14.155803
 2014-Apr-09 00:00     1.2696519390E+08 345.259910  13.478565
 2014-Apr-10 00:00     1.2742261697E+08 346.441369  12.800520
 2014-Apr-11 00:00     1.2788757017E+08 347.608056  12.122131
 2014-Apr-12 00:00     1.2835975207E+08 348.760392  11.443841
 2014-Apr-13 00:00     1.2883886261E+08 349.898791  10.766070
 2014-Apr-14 00:00     1.2932460346E+08 351.023667  10.089218
 2014-Apr-15 00:00     1.2981667833E+08 352.135427   9.413663
 2014-Apr-16 00:00     1.3031479324E+08 353.234474   8.739764
 2014-Apr-17 00:00     1.3081865683E+08 354.321205   8.067858
 2014-Apr-18 00:00     1.3132798059E+08 355.396011   7.398266
 2014-Apr-19 00:00     1.3184247910E+08 356.459274   6.731291
 2014-Apr-20 00:00     1.3236187023E+08 357.511373   6.067215
 2014-Apr-21 00:00     1.3288587535E+08 358.552676   5.406308
 2014-Apr-22 00:00     1.3341421947E+08 359.583543   4.748819
 2014-Apr-23 00:00     1.3394663144E+08   0.604330   4.094986
 2014-Apr-24 00:00     1.3448284407E+08   1.615380   3.445028
 2014-Apr-25 00:00     1.3502259423E+08   2.617031   2.799154
 2014-Apr-26 00:00     1.3556562301E+08   3.609613   2.157556
 2014-Apr-27 00:00     1.3611167577E+08   4.593445   1.520414
 2014-Apr-28 00:00     1.3666050226E+08   5.568840   0.887898
 2014-Apr-29 00:00     1.3721185665E+08   6.536104   0.260162
 2014-Apr-30 00:00     1.3776549763E+08   7.495531  -0.362646
 2014-May-01 00:00     1.3832118842E+08   8.447411  -0.980394
 2014-May-02 00:00     1.3887869682E+08   9.392024  -1.592956
 2014-May-03 00:00     1.3943779526E+08  10.329642  -2.200217
 2014-May-04 00:00     1.3999826075E+08  11.260531  -2.802071
 2014-May-05 00:00     1.4055987498E+08  12.184948  -3.398421
 2014-May-06 00:00     1.4112242421E+08  13.103143  -3.989177
 2014-May-07 00:00     1.4168569935E+08  14.015358  -4.574257
 2014-May-08 00:00     1.4224949592E+08  14.921830  -5.153587
 2014-May-09 00:00     1.4281361398E+08  15.822788  -5.727098
 2014-May-10 00:00     1.4337785816E+08  16.718452  -6.294729
 2014-May-11 00:00     1.4394203759E+08  17.609039  -6.856425
 2014-May-12 00:00     1.4450596588E+08  18.494758  -7.412136
 2014-May-13 00:00     1.4506946106E+08  19.375810  -7.961817
 2014-May-14 00:00     1.4563234553E+08  20.252392  -8.505428
 2014-May-15 00:00     1.4619444600E+08  21.124695  -9.042934
 2014-May-16 00:00     1.4675559348E+08  21.992903  -9.574306
 2014-May-17 00:00     1.4731562316E+08  22.857195 -10.099516
 2014-May-18 00:00     1.4787437437E+08  23.717743 -10.618541
 2014-May-19 00:00     1.4843169053E+08  24.574715 -11.131363
 2014-May-20 00:00     1.4898741906E+08  25.428274 -11.637965
 2014-May-21 00:00     1.4954141133E+08  26.278577 -12.138335
 2014-May-22 00:00     1.5009352258E+08  27.125775 -12.632463
 2014-May-23 00:00     1.5064361186E+08  27.970016 -13.120342
 2014-May-24 00:00     1.5119154195E+08  28.811442 -13.601966
 2014-May-25 00:00     1.5173717926E+08  29.650190 -14.077333
 2014-May-26 00:00     1.5228039383E+08  30.486393 -14.546443
 2014-May-27 00:00     1.5282105917E+08  31.320181 -15.009298
 2014-May-28 00:00     1.5335905225E+08  32.151675 -15.465899
 2014-May-29 00:00     1.5389425339E+08  32.980998 -15.916254
 2014-May-30 00:00     1.5442654621E+08  33.808263 -16.360367
 2014-May-31 00:00     1.5495581755E+08  34.633582 -16.798247
 2014-Jun-01 00:00     1.5548195739E+08  35.457062 -17.229902
 2014-Jun-02 00:00     1.5600485876E+08  36.278808 -17.655343
 2014-Jun-03 00:00     1.5652441773E+08  37.098918 -18.074580
 2014-Jun-04 00:00     1.5704053327E+08  37.917489 -18.487627
 2014-Jun-05 00:00     1.5755310721E+08  38.734612 -18.894494
 2014-Jun-06 00:00     1.5806204419E+08  39.550376 -19.295197
 2014-Jun-07 00:00     1.5856725156E+08  40.364867 -19.689748
 2014-Jun-08 00:00     1.5906863930E+08  41.178166 -20.078164
 2014-Jun-09 00:00     1.5956612003E+08  41.990350 -20.460458
 2014-Jun-10 00:00     1.6005960883E+08  42.801497 -20.836648
 2014-Jun-11 00:00     1.6054902329E+08  43.611676 -21.206748
 2014-Jun-12 00:00     1.6103428337E+08  44.420957 -21.570775
