*******************************************************************************
 2014-Apr-18 00:00     1.7703115904E+08 145.956130 -47.809903
 2014-Apr-19 00:00     1.7651111560E+08 146.793825 -47.314000
 2014-Apr-20 00:00     1.7598983642E+08 147.620647 -46.809135
 2014-Apr-21 00:00     1.7546740497E+08 148.436762 -46.295389
 2014-Apr-22 00:00     1.7494390642E+08 149.242345 -45.772838
 2014-Apr-23 00:00     1.7441942776E+08 150.037576 -45.241558
 2014-Apr-24 00:00     1.7389405775E+08 150.822644 -44.701622
 2014-Apr-25 00:00     1.7336788697E+08 151.597743 -44.153103
 2014-Apr-26 00:00     1.7284100787E+08 152.363069 -43.596069
 2014-Apr-27 00:00     1.7231351474E+08 153.118827 -43.030587
 2014-Apr-28 00:00     1.7178550376E+08 153.865223 -42.456722
 2014-Apr-29 00:00     1.7125707305E+08 154.602465 -41.874538
 2014-Apr-30 00:00     1.7072832262E+08 155.330765 -41.284096
 2014-May-01 00:00     1.7019935446E+08 156.050339 -40.685455
 2014-May-02 00:00     1.6967027251E+08 156.761401 -40.078672
 2014-May-03 00:00     1.6914118273E+08 157.464168 -39.463803
 2014-May-04 00:00     1.6861219304E+08 158.158860 -38.840901
 2014-May-05 00:00     1.6808341340E+08 158.845693 -38.210020
 2014-May-06 00:00     1.6755495582E+08 159.524887 -37.571209
 2014-May-07 00:00     1.6702693432E+08 160.196662 -36.924519
 2014-May-08 00:00     1.6649946501E+08 160.861235 -36.269997
 2014-May-09 00:00     1.6597266603E+08 161.518826 -35.607690
 2014-May-10 00:00     1.6544665763E+08 162.169653 -34.937645
 2014-May-11 00:00     1.6492156212E+08 162.813933 -34.259905
 2014-May-12 00:00     1.6439750388E+08 163.451883 -33.574516
 2014-May-13 00:00     1.6387460939E+08 164.083719 -32.881520
 2014-May-14 00:00     1.6335300722E+08 164.709655 -32.180959
 2014-May-15 00:00     1.6283282800E+08 165.329906 -31.472878
 2014-May-16 00:00     1.6231420444E+08 165.944686 -30.757316
 2014-May-17 00:00     1.6179727132E+08 166.554205 -30.034317
 2014-May-18 00:00     1.6128216547E+08 167.158675 -29.303922
 2014-May-19 00:00     1.6076902576E+08 167.758306 -28.566173
 2014-May-20 00:00     1.6025799306E+08 168.353307 -27.821113
 2014-May-21 00:00     1.5974921028E+08 168.943886 -27.068783
 2014-May-22 00:00     1.5924282228E+08 169.530251 -26.309227
 2014-May-23 00:00     1.5873897587E+08 170.112608 -25.542490
 2014-May-24 00:00     1.5823781977E+08 170.691163 -24.768616
 2014-May-25 00:00     1.5773950459E+08 171.266121 -23.987652
 2014-May-26 00:00     1.5724418279E+08 171.837687 -23.199643
 2014-May-27 00:00     1.5675200860E+08 172.406065 -22.404640
 2014-May-28 00:00     1.5626313801E+08 172.971459 -21.602693
 2014-May-29 00:00     1.5577772871E+08 173.534073 -20.793853
 2014-May-30 00:00     1.5529594002E+08 174.094111 -19.978175
 2014-May-31 00:00     1.5481793285E+08 174.651776 -19.155714
 2014-Jun-01 00:00     1.5434386958E+08 175.207273 -18.326529
 2014-Jun-02 00:00     1.5387391406E+08 175.760806 -17.490681
 2014-Jun-03 00:00     1.5340823148E+08 176.312581 -16.648234
 2014-Jun-04 00:00     1.5294698831E+08 176.862804 -15.799253
 2014-Jun-05 00:00     1.5249035220E+08 177.411681 -14.943808
 2014-Jun-06 00:00     1.5203849190E+08 177.959422 -14.081972
 2014-Jun-07 00:00     1.5159157713E+08 178.506236 -13.213820
 2014-Jun-08 00:00     1.5114977851E+08 179.052335 -12.339433
 2014-Jun-09 00:00     1.5071326744E+08 179.597930 -11.458894
 2014-Jun-10 00:00     1.5028221597E+08 180.143239 -10.572290
 2014-Jun-11 00:00     1.4985679669E+08 180.688478  -9.679712
 2014-Jun-12 00:00     1.4943718259E+08 181.233868  -8.781257
 2014-Jun-13 00:00     1.4902354693E+08 181.779632  -7.877025
 2014-Jun-14 00:00     1.4861606311E+08 182.325996  -6.967121
 2014-Jun-15 00:00     1.4821490453E+08 182.873190  -6.051656
 2014-Jun-16 00:00     1.4782024439E+08 183.421448  -5.130744
 2014-Jun-17 00:00     1.4743225561E+08 183.971006  -4.204507
 2014-Jun-18 00:00     1.4705111061E+08 184.522108  -3.273071
 2014-Jun-19 00:00     1.4667698114E+08 185.075000  -2.336568
 2014-Jun-20 00:00     1.4631003817E+08 185.629934  -1.395135
 2014-Jun-21 00:00     1.4595045163E+08 186.187167  -0.448916
 2014-Jun-22 00:00     1.4559839031E+08 186.746963   0.501937
 2014-Jun-23 00:00     1.4525402160E+08 187.309591   1.457269
 2014-Jun-24 00:00     1.4491751136E+08 187.875329   2.416915
 2014-Jun-25 00:00     1.4458902368E+08 188.444459   3.380706
 2014-Jun-26 00:00     1.4426872073E+08 189.017273   4.348463
 2014-Jun-27 00:00     1.4395676251E+08 189.594071   5.320002
 2014-Jun-28 00:00     1.4365330669E+08 190.175160   6.295131
 2014-Jun-29 00:00     1.4335850838E+08 190.760859   7.273649
 2014-Jun-30 00:00     1.4307251995E+08 191.351495   8.255348
 2014-Jul-01 00:00     1.4279549079E+08 191.947405   9.240014
 2014-Jul-02 00:00     1.4252756714E+08 192.548938  10.227420
 2014-Jul-03 00:00     1.4226889184E+08 193.156455  11.217336
 2014-Jul-04 00:00     1.4201960417E+08 193.770328  12.209518
 2014-Jul-05 00:00     1.4177983961E+08 194.390944  13.203718
 2014-Jul-06 00:00     1.4154972965E+08 195.018702  14.199674
 2014-Jul-07 00:00     1.4132940160E+08 195.654016  15.197120
 2014-Jul-08 00:00     1.4111897837E+08 196.297316  16.195775
 2014-Jul-09 00:00     1.4091857828E+08 196.949047  17.195353
 2014-Jul-10 00:00     1.4072831489E+08 197.609673  18.195554
 2014-Jul-11 00:00     1.4054829678E+08 198.279673  19.196070
 2014-Jul-12 00:00     1.4037862743E+08 198.959547  20.196582
 2014-Jul-13 00:00     1.4021940496E+08 199.649815  21.196759
 2014-Jul-14 00:00     1.4007072204E+08 200.351016  22.196261
 2014-Jul-15 00:00     1.3993266570E+08 201.063712  23.194735
 2014-Jul-16 00:00     1.3980531718E+08 201.788487  24.191815
 2014-Jul-17 00:00     1.3968875178E+08 202.525949  25.187124
 2014-Jul-18 00:00     1.3958303876E+08 203.276730  26.180274
 2014-Jul-19 00:00     1.3948824115E+08 204.041489  27.170862
 2014-Jul-20 00:00     1.3940441573E+08 204.820910  28.158471
 2014-Jul-21 00:00     1.3933161284E+08 205.615706  29.142671
 2014-Jul-22 00:00     1.3926987633E+08 206.426618  30.123018
 2014-Jul-23 00:00     1.3921924349E+08 207.254416  31.099052
 2014-Jul-24 00:00     1.3917974495E+08 208.099901  32.070299
 2014-Jul-25 00:00     1.3915140464E+08 208.963903  33.036266
 2014-Jul-26 00:00     1.3913423976E+08 209.847284  33.996447
 2014-Jul-27 00:00     1.3912826071E+08 210.750940  34.950315
 2014-Jul-28 00:00     1.3913347111E+08 211.675795  35.897328
 2014-Jul-29 00:00     1.3914986778E+08 212.622806  36.836923
 2014-Jul-30 00:00     1.3917744072E+08 213.592962  37.768517
 2014-Jul-31 00:00     1.3921617318E+08 214.587280  38.691509
 2014-Aug-01 00:00     1.3926604163E+08 215.606807  39.605275
 2014-Aug-02 00:00     1.3932701587E+08 216.652616  40.509169
 2014-Aug-03 00:00     1.3939905904E+08 217.725807  41.402525
