*******************************************************************************
 2014-Mar-18 00:00     1.3218795826E+08 111.408181 -53.750194
 2014-Mar-19 00:00     1.3283064198E+08 113.192028 -53.491840
 2014-Mar-20 00:00     1.3346457764E+08 114.936358 -53.210127
 2014-Mar-21 00:00     1.3408962442E+08 116.640762 -52.906305
 2014-Mar-22 00:00     1.3470564850E+08 118.305047 -52.581592
 2014-Mar-23 00:00     1.3531252273E+08 119.929218 -52.237168
 2014-Mar-24 00:00     1.3591012632E+08 121.513452 -51.874172
 2014-Mar-25 00:00     1.3649834449E+08 123.058088 -51.493699
 2014-Mar-26 00:00     1.3707706826E+08 124.563596 -51.096797
 2014-Mar-27 00:00     1.3764619411E+08 126.030569 -50.684469
 2014-Mar-28 00:00     1.3820562374E+08 127.459696 -50.257670
 2014-Mar-29 00:00     1.3875526382E+08 128.851753 -49.817307
 2014-Mar-30 00:00     1.3929502574E+08 130.207584 -49.364240
 2014-Mar-31 00:00     1.3982482541E+08 131.528085 -48.899282
 2014-Apr-01 00:00     1.4034458299E+08 132.814199 -48.423200
 2014-Apr-02 00:00     1.4085422276E+08 134.066898 -47.936718
 2014-Apr-03 00:00     1.4135367283E+08 135.287174 -47.440515
 2014-Apr-04 00:00     1.4184286504E+08 136.476034 -46.935231
 2014-Apr-05 00:00     1.4232173472E+08 137.634491 -46.421462
 2014-Apr-06 00:00     1.4279022055E+08 138.763554 -45.899770
 2014-Apr-07 00:00     1.4324826437E+08 139.864228 -45.370679
 2014-Apr-08 00:00     1.4369581108E+08 140.937507 -44.834677
 2014-Apr-09 00:00     1.4413280842E+08 141.984370 -44.292221
 2014-Apr-10 00:00     1.4455920690E+08 143.005777 -43.743736
 2014-Apr-11 00:00     1.4497495963E+08 144.002669 -43.189618
 2014-Apr-12 00:00     1.4538002218E+08 144.975963 -42.630233
 2014-Apr-13 00:00     1.4577435249E+08 145.926556 -42.065923
 2014-Apr-14 00:00     1.4615791077E+08 146.855316 -41.497005
 2014-Apr-15 00:00     1.4653065934E+08 147.763086 -40.923772
 2014-Apr-16 00:00     1.4689256257E+08 148.650686 -40.346495
 2014-Apr-17 00:00     1.4724358676E+08 149.518907 -39.765424
 2014-Apr-18 00:00     1.4758370006E+08 150.368514 -39.180792
 2014-Apr-19 00:00     1.4791287239E+08 151.200247 -38.592812
 2014-Apr-20 00:00     1.4823107533E+08 152.014819 -38.001679
 2014-Apr-21 00:00     1.4853828206E+08 152.812919 -37.407574
 2014-Apr-22 00:00     1.4883446730E+08 153.595211 -36.810663
 2014-Apr-23 00:00     1.4911960720E+08 154.362334 -36.211096
 2014-Apr-24 00:00     1.4939367931E+08 155.114905 -35.609012
 2014-Apr-25 00:00     1.4965666250E+08 155.853518 -35.004537
 2014-Apr-26 00:00     1.4990853691E+08 156.578744 -34.397784
 2014-Apr-27 00:00     1.5014928386E+08 157.291133 -33.788858
 2014-Apr-28 00:00     1.5037888587E+08 157.991217 -33.177852
 2014-Apr-29 00:00     1.5059732654E+08 158.679506 -32.564849
 2014-Apr-30 00:00     1.5080459052E+08 159.356492 -31.949925
 2014-May-01 00:00     1.5100066350E+08 160.022649 -31.333146
 2014-May-02 00:00     1.5118553213E+08 160.678434 -30.714571
 2014-May-03 00:00     1.5135918401E+08 161.324287 -30.094250
 2014-May-04 00:00     1.5152160762E+08 161.960633 -29.472229
 2014-May-05 00:00     1.5167279233E+08 162.587882 -28.848545
 2014-May-06 00:00     1.5181272834E+08 163.206429 -28.223229
 2014-May-07 00:00     1.5194140666E+08 163.816657 -27.596308
 2014-May-08 00:00     1.5205881909E+08 164.418933 -26.967802
 2014-May-09 00:00     1.5216495818E+08 165.013617 -26.337726
 2014-May-10 00:00     1.5225981723E+08 165.601051 -25.706091
 2014-May-11 00:00     1.5234339025E+08 166.181572 -25.072902
 2014-May-12 00:00     1.5241567197E+08 166.755503 -24.438161
 2014-May-13 00:00     1.5247665780E+08 167.323157 -23.801866
 2014-May-14 00:00     1.5252634383E+08 167.884841 -23.164009
 2014-May-15 00:00     1.5256472682E+08 168.440849 -22.524581
 2014-May-16 00:00     1.5259180416E+08 168.991470 -21.883568
 2014-May-17 00:00     1.5260757392E+08 169.536984 -21.240953
 2014-May-18 00:00     1.5261203481E+08 170.077663 -20.596717
 2014-May-19 00:00     1.5260518618E+08 170.613774 -19.950835
 2014-May-20 00:00     1.5258702801E+08 171.145577 -19.303282
 2014-May-21 00:00     1.5255756094E+08 171.673325 -18.654029
 2014-May-22 00:00     1.5251678625E+08 172.197267 -18.003046
