*******************************************************************************
 2014-May-31 00:00     1.5141551102E+08 207.797010  32.791970
 2014-Jun-01 00:00     1.5140088934E+08 208.430138  33.511951
 2014-Jun-02 00:00     1.5138014145E+08 209.074017  34.228821
 2014-Jun-03 00:00     1.5135327076E+08 209.729132  34.942488
 2014-Jun-04 00:00     1.5132028171E+08 210.395986  35.652853
 2014-Jun-05 00:00     1.5128117974E+08 211.075103  36.359808
 2014-Jun-06 00:00     1.5123597134E+08 211.767025  37.063239
 2014-Jun-07 00:00     1.5118466402E+08 212.472316  37.763018
 2014-Jun-08 00:00     1.5112726629E+08 213.191562  38.459011
 2014-Jun-09 00:00     1.5106378776E+08 213.925370  39.151071
 2014-Jun-10 00:00     1.5099423904E+08 214.674372  39.839041
 2014-Jun-11 00:00     1.5091863182E+08 215.439223  40.522751
 2014-Jun-12 00:00     1.5083697883E+08 216.220603  41.202019
 2014-Jun-13 00:00     1.5074929391E+08 217.019217  41.876649
 2014-Jun-14 00:00     1.5065559194E+08 217.835795  42.546431
 2014-Jun-15 00:00     1.5055588894E+08 218.671094  43.211139
 2014-Jun-16 00:00     1.5045020200E+08 219.525898  43.870533
 2014-Jun-17 00:00     1.5033854934E+08 220.401015  44.524354
 2014-Jun-18 00:00     1.5022095031E+08 221.297281  45.172326
 2014-Jun-19 00:00     1.5009742543E+08 222.215558  45.814152
 2014-Jun-20 00:00     1.4996799636E+08 223.156731  46.449518
 2014-Jun-21 00:00     1.4983268592E+08 224.121712  47.078087
 2014-Jun-22 00:00     1.4969151817E+08 225.111433  47.699499
 2014-Jun-23 00:00     1.4954451834E+08 226.126848  48.313372
 2014-Jun-24 00:00     1.4939171290E+08 227.168930  48.919299
 2014-Jun-25 00:00     1.4923312959E+08 228.238666  49.516847
 2014-Jun-26 00:00     1.4906879739E+08 229.337055  50.105556
 2014-Jun-27 00:00     1.4889874658E+08 230.465103  50.684937
 2014-Jun-28 00:00     1.4872300876E+08 231.623817  51.254473
 2014-Jun-29 00:00     1.4854161684E+08 232.814201  51.813618
 2014-Jun-30 00:00     1.4835460512E+08 234.037245  52.361793
 2014-Jul-01 00:00     1.4816200925E+08 235.293918  52.898388
 2014-Jul-02 00:00     1.4796386629E+08 236.585161  53.422761
 2014-Jul-03 00:00     1.4776021474E+08 237.911869  53.934236
 2014-Jul-04 00:00     1.4755109456E+08 239.274885  54.432106
 2014-Jul-05 00:00     1.4733654719E+08 240.674983  54.915629
 2014-Jul-06 00:00     1.4711661557E+08 242.112854  55.384034
 2014-Jul-07 00:00     1.4689134420E+08 243.589086  55.836516
 2014-Jul-08 00:00     1.4666077915E+08 245.104150  56.272241
 2014-Jul-09 00:00     1.4642496807E+08 246.658378  56.690347
 2014-Jul-10 00:00     1.4618396029E+08 248.251944  57.089948
 2014-Jul-11 00:00     1.4593780676E+08 249.884844  57.470134
 2014-Jul-12 00:00     1.4568656015E+08 251.556874  57.829979
 2014-Jul-13 00:00     1.4543027487E+08 253.267608  58.168540
 2014-Jul-14 00:00     1.4516900710E+08 255.016385  58.484868
 2014-Jul-15 00:00     1.4490281480E+08 256.802284  58.778012
 2014-Jul-16 00:00     1.4463175780E+08 258.624112  59.047024
 2014-Jul-17 00:00     1.4435589779E+08 260.480391  59.290967
 2014-Jul-18 00:00     1.4407529839E+08 262.369352  59.508926
 2014-Jul-19 00:00     1.4379002516E+08 264.288931  59.700012
 2014-Jul-20 00:00     1.4350014567E+08 266.236767  59.863373
 2014-Jul-21 00:00     1.4320572950E+08 268.210219  59.998203
 2014-Jul-22 00:00     1.4290684833E+08 270.206374  60.103749
 2014-Jul-23 00:00     1.4260357594E+08 272.222071  60.179322
 2014-Jul-24 00:00     1.4229598828E+08 274.253929  60.224300
 2014-Jul-25 00:00     1.4198416348E+08 276.298383  60.238143
 2014-Jul-26 00:00     1.4166818193E+08 278.351722  60.220390
 2014-Jul-27 00:00     1.4134812629E+08 280.410132  60.170670
 2014-Jul-28 00:00     1.4102408157E+08 282.469746  60.088704
 2014-Jul-29 00:00     1.4069613512E+08 284.526692  59.974306
 2014-Jul-30 00:00     1.4036437673E+08 286.577140  59.827385
 2014-Jul-31 00:00     1.4002889865E+08 288.617353  59.647944
 2014-Aug-01 00:00     1.3968979562E+08 290.643730  59.436075
 2014-Aug-02 00:00     1.3934716493E+08 292.652848  59.191959
 2014-Aug-03 00:00     1.3900110649E+08 294.641496  58.915859
 2014-Aug-04 00:00     1.3865172280E+08 296.606707  58.608114
 2014-Aug-05 00:00     1.3829911907E+08 298.545780  58.269135
 2014-Aug-06 00:00     1.3794340322E+08 300.456296  57.899392
 2014-Aug-07 00:00     1.3758468595E+08 302.336131  57.499411
 2014-Aug-08 00:00     1.3722308075E+08 304.183457  57.069764
 2014-Aug-09 00:00     1.3685870396E+08 305.996740  56.611062
 2014-Aug-10 00:00     1.3649167482E+08 307.774735  56.123947
 2014-Aug-11 00:00     1.3612211547E+08 309.516474  55.609084
 2014-Aug-12 00:00     1.3575015104E+08 311.221252  55.067154
 2014-Aug-13 00:00     1.3537590965E+08 312.888609  54.498850
 2014-Aug-14 00:00     1.3499952245E+08 314.518311  53.904867
 2014-Aug-15 00:00     1.3462112367E+08 316.110331  53.285900
 2014-Aug-16 00:00     1.3424085063E+08 317.664826  52.642638
 2014-Aug-17 00:00     1.3385884376E+08 319.182119  51.975763
 2014-Aug-18 00:00     1.3347524667E+08 320.662678  51.285942
 2014-Aug-19 00:00     1.3309020613E+08 322.107094  50.573827
 2014-Aug-20 00:00     1.3270387210E+08 323.516069  49.840053
 2014-Aug-21 00:00     1.3231639776E+08 324.890391  49.085236
 2014-Aug-22 00:00     1.3192793952E+08 326.230923  48.309972
 2014-Aug-23 00:00     1.3153865700E+08 327.538589  47.514834
 2014-Aug-24 00:00     1.3114871309E+08 328.814361  46.700377
 2014-Aug-25 00:00     1.3075827389E+08 330.059243  45.867130
 2014-Aug-26 00:00     1.3036750876E+08 331.274267  45.015604
 2014-Aug-27 00:00     1.2997659028E+08 332.460483  44.146285
 2014-Aug-28 00:00     1.2958569423E+08 333.618946  43.259642
 2014-Aug-29 00:00     1.2919499960E+08 334.750717  42.356122
 2014-Aug-30 00:00     1.2880468854E+08 335.856853  41.436151
 2014-Aug-31 00:00     1.2841494632E+08 336.938403  40.500138
 2014-Sep-01 00:00     1.2802596133E+08 337.996404  39.548476
 2014-Sep-02 00:00     1.2763792498E+08 339.031880  38.581538
 2014-Sep-03 00:00     1.2725103168E+08 340.045839  37.599684
 2014-Sep-04 00:00     1.2686547878E+08 341.039266  36.603258
 2014-Sep-05 00:00     1.2648146648E+08 342.013130  35.592592
 2014-Sep-06 00:00     1.2609919777E+08 342.968378  34.568004
 2014-Sep-07 00:00     1.2571887830E+08 343.905933  33.529801
 2014-Sep-08 00:00     1.2534071635E+08 344.826701  32.478282
 2014-Sep-09 00:00     1.2496492267E+08 345.731560  31.413734
 2014-Sep-10 00:00     1.2459171036E+08 346.621372  30.336437
 2014-Sep-11 00:00     1.2422129480E+08 347.496974  29.246666
 2014-Sep-12 00:00     1.2385389343E+08 348.359185  28.144687
 2014-Sep-13 00:00     1.2348972565E+08 349.208801  27.030762
 2014-Sep-14 00:00     1.2312901268E+08 350.046603  25.905151
 2014-Sep-15 00:00     1.2277197731E+08 350.873351  24.768108
 2014-Sep-16 00:00     1.2241884381E+08 351.689789  23.619886
 2014-Sep-17 00:00     1.2206983764E+08 352.496645  22.460738
 2014-Sep-18 00:00     1.2172518534E+08 353.294634  21.290915
 2014-Sep-19 00:00     1.2138511423E+08 354.084455  20.110669
 2014-Sep-20 00:00     1.2104985222E+08 354.866796  18.920254
 2014-Sep-21 00:00     1.2071962756E+08 355.642333  17.719926
 2014-Sep-22 00:00     1.2039466857E+08 356.411735  16.509943
 2014-Sep-23 00:00     1.2007520341E+08 357.175661  15.290568
 2014-Sep-24 00:00     1.1976145977E+08 357.934762  14.062068
 2014-Sep-25 00:00     1.1945366459E+08 358.689685  12.824714
 2014-Sep-26 00:00     1.1915204377E+08 359.441074  11.578785
 2014-Sep-27 00:00     1.1885682185E+08   0.189569  10.324566
 2014-Sep-28 00:00     1.1856822171E+08   0.935808   9.062348
 2014-Sep-29 00:00     1.1828646420E+08   1.680432   7.792432
 2014-Sep-30 00:00     1.1801176788E+08   2.424083   6.515126
 2014-Oct-01 00:00     1.1774434861E+08   3.167405   5.230749
 2014-Oct-02 00:00     1.1748441920E+08   3.911051   3.939629
 2014-Oct-03 00:00     1.1723218912E+08   4.655677   2.642103
 2014-Oct-04 00:00     1.1698786408E+08   5.401952   1.338521
 2014-Oct-05 00:00     1.1675164569E+08   6.150553   0.029246
 2014-Oct-06 00:00     1.1652373108E+08   6.902170  -1.285350
 2014-Oct-07 00:00     1.1630431255E+08   7.657508  -2.604879
 2014-Oct-08 00:00     1.1609357720E+08   8.417290  -3.928940
 2014-Oct-09 00:00     1.1589170656E+08   9.182257  -5.257119
 2014-Oct-10 00:00     1.1569887624E+08   9.953171  -6.588986
 2014-Oct-11 00:00     1.1551525554E+08  10.730818  -7.924095
 2014-Oct-12 00:00     1.1534100715E+08  11.516011  -9.261984
