*******************************************************************************
 2014-Jul-14 00:00     1.7810272139E+08  40.540796 -56.656636
 2014-Jul-15 00:00     1.7854408173E+08  41.369164 -57.145291
 2014-Jul-16 00:00     1.7897823384E+08  42.215345 -57.625998
 2014-Jul-17 00:00     1.7940515487E+08  43.079848 -58.098644
 2014-Jul-18 00:00     1.7982482293E+08  43.963176 -58.563102
 2014-Jul-19 00:00     1.8023721703E+08  44.865835 -59.019241
 2014-Jul-20 00:00     1.8064231705E+08  45.788320 -59.466919
 2014-Jul-21 00:00     1.8104010373E+08  46.731123 -59.905985
 2014-Jul-22 00:00     1.8143055859E+08  47.694722 -60.336280
 2014-Jul-23 00:00     1.8181366393E+08  48.679585 -60.757637
 2014-Jul-24 00:00     1.8218940281E+08  49.686159 -61.169879
 2014-Jul-25 00:00     1.8255775900E+08  50.714872 -61.572820
 2014-Jul-26 00:00     1.8291871696E+08  51.766126 -61.966267
 2014-Jul-27 00:00     1.8327226179E+08  52.840292 -62.350018
 2014-Jul-28 00:00     1.8361837926E+08  53.937708 -62.723863
 2014-Jul-29 00:00     1.8395705574E+08  55.058670 -63.087585
 2014-Jul-30 00:00     1.8428827818E+08  56.203429 -63.440958
 2014-Jul-31 00:00     1.8461203409E+08  57.372183 -63.783752
 2014-Aug-01 00:00     1.8492831156E+08  58.565074 -64.115729
 2014-Aug-02 00:00     1.8523709915E+08  59.782178 -64.436645
 2014-Aug-03 00:00     1.8553838596E+08  61.023501 -64.746255
 2014-Aug-04 00:00     1.8583216157E+08  62.288973 -65.044307
 2014-Aug-05 00:00     1.8611841602E+08  63.578437 -65.330547
 2014-Aug-06 00:00     1.8639713977E+08  64.891649 -65.604723
 2014-Aug-07 00:00     1.8666832376E+08  66.228269 -65.866579
 2014-Aug-08 00:00     1.8693195930E+08  67.587855 -66.115863
 2014-Aug-09 00:00     1.8718803813E+08  68.969859 -66.352325
 2014-Aug-10 00:00     1.8743655235E+08  70.373622 -66.575721
 2014-Aug-11 00:00     1.8767749443E+08  71.798371 -66.785813
 2014-Aug-12 00:00     1.8791085722E+08  73.243220 -66.982368
 2014-Aug-13 00:00     1.8813663387E+08  74.707163 -67.165169
 2014-Aug-14 00:00     1.8835481789E+08  76.189079 -67.334006
 2014-Aug-15 00:00     1.8856540310E+08  77.687733 -67.488686
 2014-Aug-16 00:00     1.8876838362E+08  79.201778 -67.629028
 2014-Aug-17 00:00     1.8896375387E+08  80.729761 -67.754873
 2014-Aug-18 00:00     1.8915150855E+08  82.270132 -67.866077
 2014-Aug-19 00:00     1.8933164263E+08  83.821247 -67.962519
 2014-Aug-20 00:00     1.8950415136E+08  85.381384 -68.044099
 2014-Aug-21 00:00     1.8966903023E+08  86.948749 -68.110741
 2014-Aug-22 00:00     1.8982627498E+08  88.521494 -68.162393
 2014-Aug-23 00:00     1.8997588160E+08  90.097725 -68.199029
 2014-Aug-24 00:00     1.9011784629E+08  91.675521 -68.220647
