*******************************************************************************
 2014-Mar-14 00:00     3.2758416454E+08  18.263684 -40.950137
 2014-Mar-15 00:00     3.2740280716E+08  18.385379 -41.169240
 2014-Mar-16 00:00     3.2721782010E+08  18.508027 -41.388459
 2014-Mar-17 00:00     3.2702920243E+08  18.631646 -41.607797
 2014-Mar-18 00:00     3.2683695320E+08  18.756253 -41.827257
 2014-Mar-19 00:00     3.2664107142E+08  18.881866 -42.046842
 2014-Mar-20 00:00     3.2644155613E+08  19.008503 -42.266554
 2014-Mar-21 00:00     3.2623840632E+08  19.136183 -42.486397
 2014-Mar-22 00:00     3.2603162098E+08  19.264926 -42.706373
 2014-Mar-23 00:00     3.2582119908E+08  19.394749 -42.926486
 2014-Mar-24 00:00     3.2560713960E+08  19.525674 -43.146736
 2014-Mar-25 00:00     3.2538944148E+08  19.657721 -43.367129
 2014-Mar-26 00:00     3.2516810366E+08  19.790910 -43.587665
 2014-Mar-27 00:00     3.2494312507E+08  19.925263 -43.808348
 2014-Mar-28 00:00     3.2471450462E+08  20.060801 -44.029180
 2014-Mar-29 00:00     3.2448224122E+08  20.197547 -44.250164
 2014-Mar-30 00:00     3.2424633376E+08  20.335523 -44.471302
 2014-Mar-31 00:00     3.2400678111E+08  20.474753 -44.692597
 2014-Apr-01 00:00     3.2376358216E+08  20.615259 -44.914051
 2014-Apr-02 00:00     3.2351673577E+08  20.757068 -45.135665
 2014-Apr-03 00:00     3.2326624078E+08  20.900202 -45.357444
 2014-Apr-04 00:00     3.2301209604E+08  21.044689 -45.579388
 2014-Apr-05 00:00     3.2275430039E+08  21.190553 -45.801499
 2014-Apr-06 00:00     3.2249285264E+08  21.337822 -46.023781
 2014-Apr-07 00:00     3.2222775163E+08  21.486522 -46.246235
 2014-Apr-08 00:00     3.2195899615E+08  21.636682 -46.468862
 2014-Apr-09 00:00     3.2168658502E+08  21.788330 -46.691665
 2014-Apr-10 00:00     3.2141051703E+08  21.941496 -46.914645
 2014-Apr-11 00:00     3.2113079096E+08  22.096209 -47.137805
 2014-Apr-12 00:00     3.2084740561E+08  22.252500 -47.361145
 2014-Apr-13 00:00     3.2056035975E+08  22.410401 -47.584668
 2014-Apr-14 00:00     3.2026965216E+08  22.569943 -47.808375
 2014-Apr-15 00:00     3.1997528160E+08  22.731160 -48.032267
 2014-Apr-16 00:00     3.1967724686E+08  22.894086 -48.256345
 2014-Apr-17 00:00     3.1937554668E+08  23.058755 -48.480611
 2014-Apr-18 00:00     3.1907017982E+08  23.225204 -48.705066
 2014-Apr-19 00:00     3.1876114506E+08  23.393467 -48.929711
 2014-Apr-20 00:00     3.1844844114E+08  23.563583 -49.154546
 2014-Apr-21 00:00     3.1813206682E+08  23.735590 -49.379573
 2014-Apr-22 00:00     3.1781202086E+08  23.909528 -49.604791
 2014-Apr-23 00:00     3.1748830201E+08  24.085437 -49.830203
 2014-Apr-24 00:00     3.1716090903E+08  24.263357 -50.055807
 2014-Apr-25 00:00     3.1682984068E+08  24.443333 -50.281604
 2014-Apr-26 00:00     3.1649509572E+08  24.625407 -50.507595
 2014-Apr-27 00:00     3.1615667291E+08  24.809623 -50.733779
 2014-Apr-28 00:00     3.1581457102E+08  24.996029 -50.960156
 2014-Apr-29 00:00     3.1546878883E+08  25.184671 -51.186725
 2014-Apr-30 00:00     3.1511932510E+08  25.375598 -51.413487
 2014-May-01 00:00     3.1476617863E+08  25.568859 -51.640441
 2014-May-02 00:00     3.1440934820E+08  25.764506 -51.867585
 2014-May-03 00:00     3.1404883261E+08  25.962591 -52.094918
 2014-May-04 00:00     3.1368463066E+08  26.163168 -52.322441
 2014-May-05 00:00     3.1331674117E+08  26.366292 -52.550149
 2014-May-06 00:00     3.1294516297E+08  26.572021 -52.778043
 2014-May-07 00:00     3.1256989489E+08  26.780413 -53.006121
 2014-May-08 00:00     3.1219093578E+08  26.991528 -53.234379
 2014-May-09 00:00     3.1180828449E+08  27.205429 -53.462817
 2014-May-10 00:00     3.1142193991E+08  27.422178 -53.691430
 2014-May-11 00:00     3.1103190091E+08  27.641842 -53.920217
 2014-May-12 00:00     3.1063816642E+08  27.864487 -54.149174
 2014-May-13 00:00     3.1024073533E+08  28.090183 -54.378297
 2014-May-14 00:00     3.0983960661E+08  28.319002 -54.607583
 2014-May-15 00:00     3.0943477920E+08  28.551017 -54.837028
 2014-May-16 00:00     3.0902625209E+08  28.786302 -55.066627
 2014-May-17 00:00     3.0861402426E+08  29.024937 -55.296376
 2014-May-18 00:00     3.0819809475E+08  29.267000 -55.526269
 2014-May-19 00:00     3.0777846261E+08  29.512575 -55.756301
 2014-May-20 00:00     3.0735512689E+08  29.761745 -55.986465
 2014-May-21 00:00     3.0692808671E+08  30.014599 -56.216757
 2014-May-22 00:00     3.0649734118E+08  30.271227 -56.447168
 2014-May-23 00:00     3.0606288945E+08  30.531720 -56.677692
 2014-May-24 00:00     3.0562473072E+08  30.796174 -56.908321
 2014-May-25 00:00     3.0518286419E+08  31.064689 -57.139047
 2014-May-26 00:00     3.0473728911E+08  31.337364 -57.369861
 2014-May-27 00:00     3.0428800478E+08  31.614304 -57.600754
 2014-May-28 00:00     3.0383501050E+08  31.895618 -57.831716
 2014-May-29 00:00     3.0337830563E+08  32.181415 -58.062736
 2014-May-30 00:00     3.0291788957E+08  32.471810 -58.293804
 2014-May-31 00:00     3.0245376176E+08  32.766921 -58.524908
 2014-Jun-01 00:00     3.0198592168E+08  33.066869 -58.756036
 2014-Jun-02 00:00     3.0151436885E+08  33.371779 -58.987174
 2014-Jun-03 00:00     3.0103910284E+08  33.681781 -59.218309
 2014-Jun-04 00:00     3.0056012328E+08  33.997007 -59.449426
 2014-Jun-05 00:00     3.0007742982E+08  34.317595 -59.680510
 2014-Jun-06 00:00     2.9959102219E+08  34.643686 -59.911544
 2014-Jun-07 00:00     2.9910090016E+08  34.975426 -60.142512
