*******************************************************************************
 2014-Mar-31 00:00     1.3794092893E+08 192.900433  11.689419
 2014-Apr-01 00:00     1.3703806962E+08 193.538198  12.577460
 2014-Apr-02 00:00     1.3613252222E+08 194.188938  13.475727
 2014-Apr-03 00:00     1.3522458816E+08 194.853401  14.384298
 2014-Apr-04 00:00     1.3431458265E+08 195.532381  15.303238
 2014-Apr-05 00:00     1.3340283521E+08 196.226729  16.232598
 2014-Apr-06 00:00     1.3248969019E+08 196.937353  17.172412
 2014-Apr-07 00:00     1.3157550734E+08 197.665223  18.122695
 2014-Apr-08 00:00     1.3066066235E+08 198.411378  19.083439
 2014-Apr-09 00:00     1.2974554740E+08 199.176932  20.054613
 2014-Apr-10 00:00     1.2883057170E+08 199.963077  21.036157
 2014-Apr-11 00:00     1.2791616206E+08 200.771096  22.027980
 2014-Apr-12 00:00     1.2700276344E+08 201.602363  23.029956
 2014-Apr-13 00:00     1.2609083945E+08 202.458360  24.041917
 2014-Apr-14 00:00     1.2518087291E+08 203.340676  25.063651
 2014-Apr-15 00:00     1.2427336633E+08 204.251026  26.094894
 2014-Apr-16 00:00     1.2336884239E+08 205.191256  27.135326
 2014-Apr-17 00:00     1.2246784439E+08 206.163355  28.184562
 2014-Apr-18 00:00     1.2157093667E+08 207.169467  29.242145
 2014-Apr-19 00:00     1.2067870496E+08 208.211908  30.307537
 2014-Apr-20 00:00     1.1979175670E+08 209.293171  31.380109
 2014-Apr-21 00:00     1.1891072133E+08 210.415951  32.459132
 2014-Apr-22 00:00     1.1803625042E+08 211.583148  33.543761
 2014-Apr-23 00:00     1.1716901780E+08 212.797892  34.633027
 2014-Apr-24 00:00     1.1630971960E+08 214.063551  35.725819
 2014-Apr-25 00:00     1.1545907413E+08 215.383749  36.820867
 2014-Apr-26 00:00     1.1461782170E+08 216.762375  37.916727
 2014-Apr-27 00:00     1.1378672431E+08 218.203596  39.011759
 2014-Apr-28 00:00     1.1296656514E+08 219.711859  40.104109
 2014-Apr-29 00:00     1.1215814799E+08 221.291899  41.191682
 2014-Apr-30 00:00     1.1136229646E+08 222.948724  42.272123
 2014-May-01 00:00     1.1057985303E+08 224.687603  43.342786
 2014-May-02 00:00     1.0981167790E+08 226.514033  44.400711
 2014-May-03 00:00     1.0905864760E+08 228.433689  45.442599
 2014-May-04 00:00     1.0832165350E+08 230.452355  46.464782
 2014-May-05 00:00     1.0760159997E+08 232.575821  47.463204
 2014-May-06 00:00     1.0689940236E+08 234.809749  48.433400
 2014-May-07 00:00     1.0621598475E+08 237.159497  49.370483
 2014-May-08 00:00     1.0555227747E+08 239.629904  50.269140
 2014-May-09 00:00     1.0490921430E+08 242.225014  51.123645
 2014-May-10 00:00     1.0428772947E+08 244.947766  51.927882
 2014-May-11 00:00     1.0368875449E+08 247.799631  52.675393
