*******************************************************************************
 2014-Jul-30 00:00     1.5253873061E+08 191.379662  14.211551
 2014-Jul-31 00:00     1.5280560756E+08 191.808523  15.135277
 2014-Aug-01 00:00     1.5307779429E+08 192.239597  16.054917
 2014-Aug-02 00:00     1.5335518717E+08 192.673090  16.970375
 2014-Aug-03 00:00     1.5363768166E+08 193.109214  17.881556
 2014-Aug-04 00:00     1.5392517234E+08 193.548181  18.788368
 2014-Aug-05 00:00     1.5421755305E+08 193.990209  19.690721
 2014-Aug-06 00:00     1.5451471690E+08 194.435517  20.588524
 2014-Aug-07 00:00     1.5481655643E+08 194.884329  21.481688
 2014-Aug-08 00:00     1.5512296362E+08 195.336875  22.370128
 2014-Aug-09 00:00     1.5543383004E+08 195.793386  23.253755
 2014-Aug-10 00:00     1.5574904684E+08 196.254100  24.132485
 2014-Aug-11 00:00     1.5606850492E+08 196.719260  25.006233
 2014-Aug-12 00:00     1.5639209493E+08 197.189115  25.874914
 2014-Aug-13 00:00     1.5671970737E+08 197.663919  26.738446
 2014-Aug-14 00:00     1.5705123266E+08 198.143932  27.596744
 2014-Aug-15 00:00     1.5738656121E+08 198.629422  28.449725
 2014-Aug-16 00:00     1.5772558346E+08 199.120662  29.297307
 2014-Aug-17 00:00     1.5806818998E+08 199.617936  30.139406
 2014-Aug-18 00:00     1.5841427150E+08 200.121532  30.975938
 2014-Aug-19 00:00     1.5876371900E+08 200.631748  31.806819
 2014-Aug-20 00:00     1.5911642372E+08 201.148891  32.631965
 2014-Aug-21 00:00     1.5947227727E+08 201.673276  33.451289
 2014-Aug-22 00:00     1.5983117163E+08 202.205229  34.264705
 2014-Aug-23 00:00     1.6019299924E+08 202.745084  35.072126
 2014-Aug-24 00:00     1.6055765304E+08 203.293187  35.873461
 2014-Aug-25 00:00     1.6092502650E+08 203.849894  36.668620
 2014-Aug-26 00:00     1.6129501366E+08 204.415574  37.457509
 2014-Aug-27 00:00     1.6166750920E+08 204.990604  38.240033
 2014-Aug-28 00:00     1.6204240848E+08 205.575377  39.016094
 2014-Aug-29 00:00     1.6241960753E+08 206.170296  39.785592
 2014-Aug-30 00:00     1.6279900315E+08 206.775779  40.548423
 2014-Aug-31 00:00     1.6318049288E+08 207.392256  41.304481
 2014-Sep-01 00:00     1.6356397510E+08 208.020172  42.053656
