*******************************************************************************
 2014-Mar-22 00:00     1.5430297450E+08 177.986764 -11.519932
 2014-Mar-23 00:00     1.5310503012E+08 178.529164 -10.848027
 2014-Mar-24 00:00     1.5189975598E+08 179.077641 -10.164549
 2014-Mar-25 00:00     1.5068731664E+08 179.632506  -9.469202
 2014-Mar-26 00:00     1.4946788854E+08 180.194086  -8.761677
 2014-Mar-27 00:00     1.4824166078E+08 180.762731  -8.041662
 2014-Mar-28 00:00     1.4700883586E+08 181.338806  -7.308832
 2014-Mar-29 00:00     1.4576963058E+08 181.922700  -6.562855
 2014-Mar-30 00:00     1.4452427694E+08 182.514827  -5.803393
 2014-Mar-31 00:00     1.4327302307E+08 183.115622  -5.030096
 2014-Apr-01 00:00     1.4201613427E+08 183.725549  -4.242609
 2014-Apr-02 00:00     1.4075389408E+08 184.345103  -3.440568
 2014-Apr-03 00:00     1.3948660541E+08 184.974807  -2.623603
 2014-Apr-04 00:00     1.3821459177E+08 185.615221  -1.791336
 2014-Apr-05 00:00     1.3693819853E+08 186.266941  -0.943385
 2014-Apr-06 00:00     1.3565779425E+08 186.930603  -0.079360
 2014-Apr-07 00:00     1.3437377215E+08 187.606889   0.801130
 2014-Apr-08 00:00     1.3308655156E+08 188.296526   1.698480
 2014-Apr-09 00:00     1.3179657950E+08 189.000295   2.613088
 2014-Apr-10 00:00     1.3050433239E+08 189.719032   3.545351
 2014-Apr-11 00:00     1.2921031771E+08 190.453635   4.495661
 2014-Apr-12 00:00     1.2791507586E+08 191.205072   5.464409
 2014-Apr-13 00:00     1.2661918203E+08 191.974382   6.451977
 2014-Apr-14 00:00     1.2532324821E+08 192.762688   7.458735
 2014-Apr-15 00:00     1.2402792518E+08 193.571199   8.485040
 2014-Apr-16 00:00     1.2273390466E+08 194.401223   9.531231
 2014-Apr-17 00:00     1.2144192147E+08 195.254175  10.597619
 2014-Apr-18 00:00     1.2015275576E+08 196.131590  11.684488
 2014-Apr-19 00:00     1.1886723527E+08 197.035130  12.792084
 2014-Apr-20 00:00     1.1758623762E+08 197.966601  13.920607
 2014-Apr-21 00:00     1.1631069262E+08 198.927969  15.070205
 2014-Apr-22 00:00     1.1504158455E+08 199.921372  16.240960
 2014-Apr-23 00:00     1.1377995439E+08 200.949140  17.432876
 2014-Apr-24 00:00     1.1252690200E+08 202.013817  18.645867
 2014-Apr-25 00:00     1.1128358819E+08 203.118180  19.879744
 2014-Apr-26 00:00     1.1005123660E+08 204.265265  21.134188
 2014-Apr-27 00:00     1.0883113540E+08 205.458394  22.408738
 2014-Apr-28 00:00     1.0762463877E+08 206.701200  23.702766
 2014-Apr-29 00:00     1.0643316796E+08 207.997663  25.015445
 2014-Apr-30 00:00     1.0525821206E+08 209.352140  26.345725
 2014-May-01 00:00     1.0410132821E+08 210.769401  27.692299
 2014-May-02 00:00     1.0296414132E+08 212.254662  29.053558
 2014-May-03 00:00     1.0184834304E+08 213.813624  30.427557
 2014-May-04 00:00     1.0075569011E+08 215.452501  31.811962
 2014-May-05 00:00     9.9688001709E+07 217.178054  33.203996
 2014-May-06 00:00     9.8647155985E+07 218.997604  34.600388
 2014-May-07 00:00     9.7635085405E+07 220.919047  35.997304
 2014-May-08 00:00     9.6653771020E+07 222.950831  37.390281
 2014-May-09 00:00     9.5705235449E+07 225.101920  38.774163
 2014-May-10 00:00     9.4791534549E+07 227.381703  40.143022
 2014-May-11 00:00     9.3914747698E+07 229.799858  41.490099
 2014-May-12 00:00     9.3076966667E+07 232.366135  42.807738
 2014-May-13 00:00     9.2280283084E+07 235.090047  44.087341
 2014-May-14 00:00     9.1526774525E+07 237.980448  45.319349
 2014-May-15 00:00     9.0818489319E+07 241.044986  46.493248
 2014-May-16 00:00     9.0157430200E+07 244.289404  47.597638
 2014-May-17 00:00     8.9545536984E+07 247.716724  48.620354
 2014-May-18 00:00     8.8984668526E+07 251.326327  49.548676
 2014-May-19 00:00     8.8476584231E+07 255.113008  50.369632
 2014-May-20 00:00     8.8022925469E+07 259.066117  51.070392
 2014-May-21 00:00     8.7625197279E+07 263.168928  51.638766
 2014-May-22 00:00     8.7284750761E+07 267.398418  52.063753
 2014-May-23 00:00     8.7002766594E+07 271.725585  52.336125
 2014-May-24 00:00     8.6780240107E+07 276.116405  52.448965
 2014-May-25 00:00     8.6617968302E+07 280.533405  52.398111
 2014-May-26 00:00     8.6516539214E+07 284.937685  52.182422
 2014-May-27 00:00     8.6476323910E+07 289.291149  51.803850
 2014-May-28 00:00     8.6497471383E+07 293.558612  51.267297
 2014-May-29 00:00     8.6579906484E+07 297.709522  50.580272
 2014-May-30 00:00     8.6723330976E+07 301.719098  49.752429
 2014-May-31 00:00     8.6927227653E+07 305.568824  48.795014
 2014-Jun-01 00:00     8.7190867422E+07 309.246365  47.720314
 2014-Jun-02 00:00     8.7513319110E+07 312.745035  46.541134
 2014-Jun-03 00:00     8.7893461714E+07 316.062987  45.270359
 2014-Jun-04 00:00     8.8329998733E+07 319.202279  43.920597
 2014-Jun-05 00:00     8.8821474189E+07 322.167939  42.503913
 2014-Jun-06 00:00     8.9366289914E+07 324.967115  41.031651
 2014-Jun-07 00:00     8.9962723664E+07 327.608341  39.514317
 2014-Jun-08 00:00     9.0608947654E+07 330.100950  37.961528
 2014-Jun-09 00:00     9.1303047114E+07 332.454614  36.381992
 2014-Jun-10 00:00     9.2043038510E+07 334.679013  34.783528
 2014-Jun-11 00:00     9.2826887135E+07 336.783589  33.173099
 2014-Jun-12 00:00     9.3652523787E+07 338.777388  31.556862
 2014-Jun-13 00:00     9.4517860368E+07 340.668966  29.940222
 2014-Jun-14 00:00     9.5420804211E+07 342.466331  28.327896
 2014-Jun-15 00:00     9.6359271081E+07 344.176920  26.723969
 2014-Jun-16 00:00     9.7331196757E+07 345.807608  25.131956
 2014-Jun-17 00:00     9.8334547207E+07 347.364717  23.554856
 2014-Jun-18 00:00     9.9367327369E+07 348.854048  21.995207
 2014-Jun-19 00:00     1.0042758858E+08 350.280911  20.455136
 2014-Jun-20 00:00     1.0151343474E+08 351.650157  18.936402
 2014-Jun-21 00:00     1.0262302728E+08 352.966219  17.440442
 2014-Jun-22 00:00     1.0375458903E+08 354.233144  15.968406
 2014-Jun-23 00:00     1.0490640710E+08 355.454626  14.521194
 2014-Jun-24 00:00     1.0607683487E+08 356.634038  13.099485
 2014-Jun-25 00:00     1.0726429322E+08 357.774461  11.703767
 2014-Jun-26 00:00     1.0846727101E+08 358.878715  10.334362
 2014-Jun-27 00:00     1.0968432504E+08 359.949377   8.991448
 2014-Jun-28 00:00     1.1091407948E+08   0.988808   7.675079
 2014-Jun-29 00:00     1.1215522486E+08   1.999174   6.385202
 2014-Jun-30 00:00     1.1340651674E+08   2.982463   5.121676
 2014-Jul-01 00:00     1.1466677406E+08   3.940501   3.884282
 2014-Jul-02 00:00     1.1593487737E+08   4.874968   2.672737
 2014-Jul-03 00:00     1.1720976672E+08   5.787414   1.486706
 2014-Jul-04 00:00     1.1849043962E+08   6.679265   0.325809
 2014-Jul-05 00:00     1.1977594875E+08   7.551842  -0.810369
 2014-Jul-06 00:00     1.2106539973E+08   8.406363  -1.922272
 2014-Jul-07 00:00     1.2235794879E+08   9.243959  -3.010366
 2014-Jul-08 00:00     1.2365280051E+08  10.065677  -4.075132
 2014-Jul-09 00:00     1.2494920553E+08  10.872489  -5.117066
 2014-Jul-10 00:00     1.2624645831E+08  11.665299  -6.136669
 2014-Jul-11 00:00     1.2754389493E+08  12.444949  -7.134449
 2014-Jul-12 00:00     1.2884089097E+08  13.212221  -8.110915
 2014-Jul-13 00:00     1.3013685946E+08  13.967847  -9.066572
 2014-Jul-14 00:00     1.3143124884E+08  14.712511 -10.001927
 2014-Jul-15 00:00     1.3272354106E+08  15.446850 -10.917479
 2014-Jul-16 00:00     1.3401324977E+08  16.171464 -11.813720
 2014-Jul-17 00:00     1.3529991849E+08  16.886912 -12.691138
 2014-Jul-18 00:00     1.3658311897E+08  17.593721 -13.550208
 2014-Jul-19 00:00     1.3786244960E+08  18.292384 -14.391400
 2014-Jul-20 00:00     1.3913753380E+08  18.983366 -15.215170
 2014-Jul-21 00:00     1.4040801866E+08  19.667105 -16.021967
 2014-Jul-22 00:00     1.4167357351E+08  20.344013 -16.812226
 2014-Jul-23 00:00     1.4293388861E+08  21.014477 -17.586374
 2014-Jul-24 00:00     1.4418867398E+08  21.678867 -18.344824
 2014-Jul-25 00:00     1.4543765814E+08  22.337527 -19.087980
 2014-Jul-26 00:00     1.4668058711E+08  22.990787 -19.816232
 2014-Jul-27 00:00     1.4791722333E+08  23.638956 -20.529961
 2014-Jul-28 00:00     1.4914734472E+08  24.282330 -21.229535
 2014-Jul-29 00:00     1.5037074377E+08  24.921186 -21.915312
 2014-Jul-30 00:00     1.5158722665E+08  25.555790 -22.587639
 2014-Jul-31 00:00     1.5279661247E+08  26.186394 -23.246852
 2014-Aug-01 00:00     1.5399873246E+08  26.813237 -23.893275
 2014-Aug-02 00:00     1.5519342929E+08  27.436546 -24.527223
 2014-Aug-03 00:00     1.5638055638E+08  28.056537 -25.149002
 2014-Aug-04 00:00     1.5755997726E+08  28.673418 -25.758906
 2014-Aug-05 00:00     1.5873156496E+08  29.287384 -26.357220
 2014-Aug-06 00:00     1.5989520144E+08  29.898623 -26.944221
 2014-Aug-07 00:00     1.6105077708E+08  30.507315 -27.520174
 2014-Aug-08 00:00     1.6219819011E+08  31.113630 -28.085338
 2014-Aug-09 00:00     1.6333734621E+08  31.717731 -28.639962
 2014-Aug-10 00:00     1.6446815800E+08  32.319775 -29.184287
