*******************************************************************************
 2014-Apr-26 00:00     2.8114280031E+08 352.691520  23.987707
 2014-Apr-27 00:00     2.8150084520E+08 352.893968  23.725138
 2014-Apr-28 00:00     2.8185520400E+08 353.095094  23.462967
 2014-Apr-29 00:00     2.8220587497E+08 353.294925  23.201194
 2014-Apr-30 00:00     2.8255285645E+08 353.493486  22.939813
 2014-May-01 00:00     2.8289614683E+08 353.690801  22.678823
 2014-May-02 00:00     2.8323574458E+08 353.886894  22.418219
 2014-May-03 00:00     2.8357164820E+08 354.081789  22.157998
 2014-May-04 00:00     2.8390385627E+08 354.275510  21.898157
 2014-May-05 00:00     2.8423236743E+08 354.468079  21.638693
 2014-May-06 00:00     2.8455718036E+08 354.659519  21.379602
 2014-May-07 00:00     2.8487829381E+08 354.849852  21.120879
 2014-May-08 00:00     2.8519570657E+08 355.039100  20.862523
 2014-May-09 00:00     2.8550941747E+08 355.227283  20.604528
 2014-May-10 00:00     2.8581942541E+08 355.414422  20.346892
 2014-May-11 00:00     2.8612572933E+08 355.600539  20.089609
 2014-May-12 00:00     2.8642832821E+08 355.785653  19.832678
 2014-May-13 00:00     2.8672722107E+08 355.969784  19.576093
 2014-May-14 00:00     2.8702240699E+08 356.152951  19.319852
 2014-May-15 00:00     2.8731388509E+08 356.335174  19.063949
 2014-May-16 00:00     2.8760165450E+08 356.516470  18.808382
 2014-May-17 00:00     2.8788571442E+08 356.696860  18.553145
 2014-May-18 00:00     2.8816606408E+08 356.876360  18.298236
 2014-May-19 00:00     2.8844270274E+08 357.054989  18.043650
 2014-May-20 00:00     2.8871562970E+08 357.232765  17.789383
 2014-May-21 00:00     2.8898484429E+08 357.409704  17.535431
 2014-May-22 00:00     2.8925034589E+08 357.585823  17.281790
 2014-May-23 00:00     2.8951213388E+08 357.761140  17.028456
 2014-May-24 00:00     2.8977020770E+08 357.935670  16.775425
 2014-May-25 00:00     2.9002456681E+08 358.109430  16.522692
 2014-May-26 00:00     2.9027521068E+08 358.282436  16.270253
 2014-May-27 00:00     2.9052213884E+08 358.454704  16.018105
 2014-May-28 00:00     2.9076535082E+08 358.626249  15.766243
 2014-May-29 00:00     2.9100484619E+08 358.797086  15.514662
 2014-May-30 00:00     2.9124062454E+08 358.967231  15.263359
 2014-May-31 00:00     2.9147268549E+08 359.136698  15.012329
 2014-Jun-01 00:00     2.9170102867E+08 359.305502  14.761569
 2014-Jun-02 00:00     2.9192565375E+08 359.473657  14.511073
 2014-Jun-03 00:00     2.9214656039E+08 359.641177  14.260838
 2014-Jun-04 00:00     2.9236374831E+08 359.808077  14.010859
 2014-Jun-05 00:00     2.9257721722E+08 359.974370  13.761132
 2014-Jun-06 00:00     2.9278696687E+08   0.140070  13.511652
 2014-Jun-07 00:00     2.9299299701E+08   0.305190  13.262416
 2014-Jun-08 00:00     2.9319530740E+08   0.469744  13.013419
 2014-Jun-09 00:00     2.9339389786E+08   0.633744  12.764657
 2014-Jun-10 00:00     2.9358876818E+08   0.797204  12.516125
 2014-Jun-11 00:00     2.9377991818E+08   0.960137  12.267819
 2014-Jun-12 00:00     2.9396734770E+08   1.122554  12.019735
 2014-Jun-13 00:00     2.9415105659E+08   1.284469  11.771868
 2014-Jun-14 00:00     2.9433104472E+08   1.445894  11.524214
 2014-Jun-15 00:00     2.9450731196E+08   1.606841  11.276769
