*******************************************************************************
 2014-Jun-02 00:00     4.1642036812E+08  11.005654 -14.617952
 2014-Jun-03 00:00     4.1733205972E+08  11.060030 -14.755380
 2014-Jun-04 00:00     4.1824079448E+08  11.114238 -14.892196
 2014-Jun-05 00:00     4.1914657935E+08  11.168279 -15.028408
 2014-Jun-06 00:00     4.2004942121E+08  11.222156 -15.164021
 2014-Jun-07 00:00     4.2094932695E+08  11.275872 -15.299041
 2014-Jun-08 00:00     4.2184630341E+08  11.329428 -15.433474
 2014-Jun-09 00:00     4.2274035739E+08  11.382826 -15.567324
 2014-Jun-10 00:00     4.2363149569E+08  11.436069 -15.700598
 2014-Jun-11 00:00     4.2451972505E+08  11.489158 -15.833300
 2014-Jun-12 00:00     4.2540505219E+08  11.542094 -15.965437
 2014-Jun-13 00:00     4.2628748382E+08  11.594882 -16.097014
 2014-Jun-14 00:00     4.2716702658E+08  11.647521 -16.228035
 2014-Jun-15 00:00     4.2804368713E+08  11.700014 -16.358506
 2014-Jun-16 00:00     4.2891747204E+08  11.752363 -16.488432
 2014-Jun-17 00:00     4.2978838791E+08  11.804569 -16.617817
 2014-Jun-18 00:00     4.3065644127E+08  11.856635 -16.746668
 2014-Jun-19 00:00     4.3152163863E+08  11.908561 -16.874988
 2014-Jun-20 00:00     4.3238398647E+08  11.960351 -17.002783
 2014-Jun-21 00:00     4.3324349124E+08  12.012006 -17.130058
 2014-Jun-22 00:00     4.3410015937E+08  12.063526 -17.256816
 2014-Jun-23 00:00     4.3495399723E+08  12.114915 -17.383063
 2014-Jun-24 00:00     4.3580501120E+08  12.166173 -17.508804
 2014-Jun-25 00:00     4.3665320759E+08  12.217303 -17.634042
 2014-Jun-26 00:00     4.3749859270E+08  12.268306 -17.758783
 2014-Jun-27 00:00     4.3834117281E+08  12.319183 -17.883030
 2014-Jun-28 00:00     4.3918095415E+08  12.369936 -18.006789
 2014-Jun-29 00:00     4.4001794292E+08  12.420567 -18.130063
 2014-Jun-30 00:00     4.4085214530E+08  12.471077 -18.252857
 2014-Jul-01 00:00     4.4168356744E+08  12.521468 -18.375175
 2014-Jul-02 00:00     4.4251221544E+08  12.571742 -18.497021
 2014-Jul-03 00:00     4.4333809540E+08  12.621898 -18.618399
 2014-Jul-04 00:00     4.4416121336E+08  12.671941 -18.739314
 2014-Jul-05 00:00     4.4498157536E+08  12.721869 -18.859769
 2014-Jul-06 00:00     4.4579918738E+08  12.771686 -18.979769
 2014-Jul-07 00:00     4.4661405539E+08  12.821393 -19.099317
 2014-Jul-08 00:00     4.4742618532E+08  12.870990 -19.218418
 2014-Jul-09 00:00     4.4823558308E+08  12.920479 -19.337074
 2014-Jul-10 00:00     4.4904225453E+08  12.969863 -19.455290
 2014-Jul-11 00:00     4.4984620552E+08  13.019141 -19.573070
 2014-Jul-12 00:00     4.5064744186E+08  13.068315 -19.690418
 2014-Jul-13 00:00     4.5144596934E+08  13.117387 -19.807336
 2014-Jul-14 00:00     4.5224179370E+08  13.166359 -19.923829
 2014-Jul-15 00:00     4.5303492068E+08  13.215230 -20.039901
 2014-Jul-16 00:00     4.5382535597E+08  13.264003 -20.155554
 2014-Jul-17 00:00     4.5461310523E+08  13.312679 -20.270793
 2014-Jul-18 00:00     4.5539817409E+08  13.361258 -20.385621
 2014-Jul-19 00:00     4.5618056817E+08  13.409743 -20.500040
 2014-Jul-20 00:00     4.5696029304E+08  13.458135 -20.614056
 2014-Jul-21 00:00     4.5773735425E+08  13.506434 -20.727670
 2014-Jul-22 00:00     4.5851175730E+08  13.554642 -20.840887
 2014-Jul-23 00:00     4.5928350771E+08  13.602760 -20.953710
 2014-Jul-24 00:00     4.6005261092E+08  13.650790 -21.066141
 2014-Jul-25 00:00     4.6081907236E+08  13.698732 -21.178185
 2014-Jul-26 00:00     4.6158289744E+08  13.746587 -21.289844
 2014-Jul-27 00:00     4.6234409154E+08  13.794357 -21.401121
 2014-Jul-28 00:00     4.6310265999E+08  13.842043 -21.512020
 2014-Jul-29 00:00     4.6385860812E+08  13.889646 -21.622544
 2014-Jul-30 00:00     4.6461194121E+08  13.937167 -21.732695
 2014-Jul-31 00:00     4.6536266453E+08  13.984607 -21.842477
 2014-Aug-01 00:00     4.6611078331E+08  14.031967 -21.951892
 2014-Aug-02 00:00     4.6685630274E+08  14.079248 -22.060944
 2014-Aug-03 00:00     4.6759922802E+08  14.126452 -22.169636
 2014-Aug-04 00:00     4.6833956428E+08  14.173579 -22.277970
 2014-Aug-05 00:00     4.6907731665E+08  14.220630 -22.385950
 2014-Aug-06 00:00     4.6981249022E+08  14.267606 -22.493577
 2014-Aug-07 00:00     4.7054509006E+08  14.314510 -22.600856
 2014-Aug-08 00:00     4.7127512120E+08  14.361340 -22.707788
 2014-Aug-09 00:00     4.7200258866E+08  14.408099 -22.814377
 2014-Aug-10 00:00     4.7272749742E+08  14.454787 -22.920624
 2014-Aug-11 00:00     4.7344985244E+08  14.501406 -23.026534
 2014-Aug-12 00:00     4.7416965864E+08  14.547956 -23.132108
 2014-Aug-13 00:00     4.7488692094E+08  14.594438 -23.237349
 2014-Aug-14 00:00     4.7560164420E+08  14.640854 -23.342260
 2014-Aug-15 00:00     4.7631383328E+08  14.687203 -23.446843
 2014-Aug-16 00:00     4.7702349300E+08  14.733488 -23.551101
 2014-Aug-17 00:00     4.7773062816E+08  14.779709 -23.655036
 2014-Aug-18 00:00     4.7843524353E+08  14.825866 -23.758651
 2014-Aug-19 00:00     4.7913734385E+08  14.871962 -23.861948
 2014-Aug-20 00:00     4.7983693384E+08  14.917996 -23.964930
 2014-Aug-21 00:00     4.8053401819E+08  14.963970 -24.067600
 2014-Aug-22 00:00     4.8122860158E+08  15.009885 -24.169959
 2014-Aug-23 00:00     4.8192068864E+08  15.055740 -24.272010
 2014-Aug-24 00:00     4.8261028398E+08  15.101538 -24.373755
 2014-Aug-25 00:00     4.8329739221E+08  15.147280 -24.475197
 2014-Aug-26 00:00     4.8398201787E+08  15.192965 -24.576337
 2014-Aug-27 00:00     4.8466416552E+08  15.238595 -24.677179
 2014-Aug-28 00:00     4.8534383966E+08  15.284170 -24.777725
 2014-Aug-29 00:00     4.8602104479E+08  15.329692 -24.877976
 2014-Aug-30 00:00     4.8669578537E+08  15.375162 -24.977935
 2014-Aug-31 00:00     4.8736806583E+08  15.420579 -25.077604
 2014-Sep-01 00:00     4.8803789060E+08  15.465945 -25.176986
 2014-Sep-02 00:00     4.8870526407E+08  15.511262 -25.276082
 2014-Sep-03 00:00     4.8937019059E+08  15.556528 -25.374894
 2014-Sep-04 00:00     4.9003267452E+08  15.601746 -25.473425
 2014-Sep-05 00:00     4.9069272017E+08  15.646916 -25.571677
 2014-Sep-06 00:00     4.9135033183E+08  15.692039 -25.669652
 2014-Sep-07 00:00     4.9200551378E+08  15.737116 -25.767352
 2014-Sep-08 00:00     4.9265827025E+08  15.782147 -25.864779
 2014-Sep-09 00:00     4.9330860547E+08  15.827133 -25.961935
 2014-Sep-10 00:00     4.9395652365E+08  15.872075 -26.058821
 2014-Sep-11 00:00     4.9460202894E+08  15.916974 -26.155441
 2014-Sep-12 00:00     4.9524512551E+08  15.961831 -26.251795
 2014-Sep-13 00:00     4.9588581748E+08  16.006645 -26.347886
 2014-Sep-14 00:00     4.9652410895E+08  16.051419 -26.443716
 2014-Sep-15 00:00     4.9716000402E+08  16.096152 -26.539287
 2014-Sep-16 00:00     4.9779350673E+08  16.140845 -26.634600
 2014-Sep-17 00:00     4.9842462112E+08  16.185499 -26.729658
 2014-Sep-18 00:00     4.9905335121E+08  16.230116 -26.824462
 2014-Sep-19 00:00     4.9967970099E+08  16.274694 -26.919014
 2014-Sep-20 00:00     5.0030367442E+08  16.319236 -27.013315
 2014-Sep-21 00:00     5.0092527544E+08  16.363742 -27.107369
 2014-Sep-22 00:00     5.0154450799E+08  16.408213 -27.201176
 2014-Sep-23 00:00     5.0216137597E+08  16.452648 -27.294738
 2014-Sep-24 00:00     5.0277588324E+08  16.497050 -27.388057
 2014-Sep-25 00:00     5.0338803368E+08  16.541418 -27.481135
 2014-Sep-26 00:00     5.0399783111E+08  16.585754 -27.573973
 2014-Sep-27 00:00     5.0460527934E+08  16.630058 -27.666574
 2014-Sep-28 00:00     5.0521038218E+08  16.674330 -27.758938
 2014-Sep-29 00:00     5.0581314338E+08  16.718571 -27.851068
 2014-Sep-30 00:00     5.0641356670E+08  16.762783 -27.942965
 2014-Oct-01 00:00     5.0701165587E+08  16.806965 -28.034631
 2014-Oct-02 00:00     5.0760741458E+08  16.851119 -28.126068
 2014-Oct-03 00:00     5.0820084653E+08  16.895244 -28.217276
 2014-Oct-04 00:00     5.0879195538E+08  16.939342 -28.308258
 2014-Oct-05 00:00     5.0938074477E+08  16.983413 -28.399015
 2014-Oct-06 00:00     5.0996721832E+08  17.027458 -28.489550
 2014-Oct-07 00:00     5.1055137964E+08  17.071478 -28.579862
 2014-Oct-08 00:00     5.1113323230E+08  17.115472 -28.669955
 2014-Oct-09 00:00     5.1171277987E+08  17.159443 -28.759829
 2014-Oct-10 00:00     5.1229002588E+08  17.203389 -28.849486
 2014-Oct-11 00:00     5.1286497386E+08  17.247313 -28.938927
 2014-Oct-12 00:00     5.1343762730E+08  17.291214 -29.028155
 2014-Oct-13 00:00     5.1400798968E+08  17.335093 -29.117170
 2014-Oct-14 00:00     5.1457606446E+08  17.378952 -29.205974
 2014-Oct-15 00:00     5.1514185508E+08  17.422789 -29.294568
 2014-Oct-16 00:00     5.1570536495E+08  17.466607 -29.382954
 2014-Oct-17 00:00     5.1626659749E+08  17.510405 -29.471134
 2014-Oct-18 00:00     5.1682555606E+08  17.554184 -29.559108
 2014-Oct-19 00:00     5.1738224404E+08  17.597945 -29.646878
 2014-Oct-20 00:00     5.1793666474E+08  17.641689 -29.734446
 2014-Oct-21 00:00     5.1848882151E+08  17.685415 -29.821813
 2014-Oct-22 00:00     5.1903871764E+08  17.729125 -29.908980
 2014-Oct-23 00:00     5.1958635642E+08  17.772819 -29.995948
 2014-Oct-24 00:00     5.2013174110E+08  17.816498 -30.082720
 2014-Oct-25 00:00     5.2067487493E+08  17.860162 -30.169295
 2014-Oct-26 00:00     5.2121576115E+08  17.903811 -30.255677
 2014-Oct-27 00:00     5.2175440294E+08  17.947448 -30.341865
 2014-Oct-28 00:00     5.2229080352E+08  17.991071 -30.427862
