*******************************************************************************
 2014-May-28 00:00     4.0340629996E+08 315.613371  45.954030
 2014-May-29 00:00     4.0242424436E+08 315.761091  45.888834
 2014-May-30 00:00     4.0143789830E+08 315.909186  45.823127
 2014-May-31 00:00     4.0044724520E+08 316.057660  45.756902
 2014-Jun-01 00:00     3.9945226832E+08 316.206518  45.690155
 2014-Jun-02 00:00     3.9845295079E+08 316.355764  45.622878
 2014-Jun-03 00:00     3.9744927552E+08 316.505402  45.555067
 2014-Jun-04 00:00     3.9644122530E+08 316.655436  45.486715
 2014-Jun-05 00:00     3.9542878272E+08 316.805870  45.417816
 2014-Jun-06 00:00     3.9441193020E+08 316.956710  45.348363
 2014-Jun-07 00:00     3.9339065001E+08 317.107958  45.278351
 2014-Jun-08 00:00     3.9236492421E+08 317.259620  45.207772
 2014-Jun-09 00:00     3.9133473470E+08 317.411700  45.136619
 2014-Jun-10 00:00     3.9030006320E+08 317.564203  45.064887
 2014-Jun-11 00:00     3.8926089124E+08 317.717134  44.992569
 2014-Jun-12 00:00     3.8821720016E+08 317.870497  44.919656
 2014-Jun-13 00:00     3.8716897112E+08 318.024296  44.846143
 2014-Jun-14 00:00     3.8611618509E+08 318.178538  44.772022
 2014-Jun-15 00:00     3.8505882285E+08 318.333227  44.697285
 2014-Jun-16 00:00     3.8399686496E+08 318.488367  44.621925
 2014-Jun-17 00:00     3.8293029180E+08 318.643965  44.545934
 2014-Jun-18 00:00     3.8185908357E+08 318.800025  44.469305
 2014-Jun-19 00:00     3.8078322022E+08 318.956553  44.392030
 2014-Jun-20 00:00     3.7970268154E+08 319.113553  44.314100
 2014-Jun-21 00:00     3.7861744707E+08 319.271032  44.235508
 2014-Jun-22 00:00     3.7752749617E+08 319.428995  44.156244
 2014-Jun-23 00:00     3.7643280797E+08 319.587448  44.076301
 2014-Jun-24 00:00     3.7533336139E+08 319.746396  43.995670
 2014-Jun-25 00:00     3.7422913513E+08 319.905845  43.914341
 2014-Jun-26 00:00     3.7312010765E+08 320.065801  43.832306
 2014-Jun-27 00:00     3.7200625720E+08 320.226270  43.749557
 2014-Jun-28 00:00     3.7088756180E+08 320.387258  43.666082
 2014-Jun-29 00:00     3.6976399925E+08 320.548772  43.581873
 2014-Jun-30 00:00     3.6863554708E+08 320.710818  43.496920
 2014-Jul-01 00:00     3.6750218261E+08 320.873402  43.411214
 2014-Jul-02 00:00     3.6636388291E+08 321.036531  43.324743
 2014-Jul-03 00:00     3.6522062481E+08 321.200211  43.237499
 2014-Jul-04 00:00     3.6407238488E+08 321.364449  43.149469
 2014-Jul-05 00:00     3.6291913945E+08 321.529252  43.060644
 2014-Jul-06 00:00     3.6176086459E+08 321.694627  42.971013
 2014-Jul-07 00:00     3.6059753611E+08 321.860582  42.880564
 2014-Jul-08 00:00     3.5942912957E+08 322.027123  42.789287
 2014-Jul-09 00:00     3.5825562024E+08 322.194258  42.697169
 2014-Jul-10 00:00     3.5707698314E+08 322.361994  42.604198
 2014-Jul-11 00:00     3.5589319302E+08 322.530339  42.510364
 2014-Jul-12 00:00     3.5470422435E+08 322.699302  42.415653
 2014-Jul-13 00:00     3.5351005129E+08 322.868889  42.320052
 2014-Jul-14 00:00     3.5231064777E+08 323.039109  42.223550
 2014-Jul-15 00:00     3.5110598738E+08 323.209970  42.126132
 2014-Jul-16 00:00     3.4989604346E+08 323.381480  42.027786
 2014-Jul-17 00:00     3.4868078902E+08 323.553649  41.928498
 2014-Jul-18 00:00     3.4746019679E+08 323.726484  41.828254
 2014-Jul-19 00:00     3.4623423919E+08 323.899995  41.727039
 2014-Jul-20 00:00     3.4500288833E+08 324.074191  41.624840
 2014-Jul-21 00:00     3.4376611601E+08 324.249081  41.521641
 2014-Jul-22 00:00     3.4252389371E+08 324.424674  41.417427
 2014-Jul-23 00:00     3.4127619259E+08 324.600980  41.312182
 2014-Jul-24 00:00     3.4002298348E+08 324.778009  41.205892
 2014-Jul-25 00:00     3.3876423689E+08 324.955770  41.098539
 2014-Jul-26 00:00     3.3749992298E+08 325.134275  40.990107
 2014-Jul-27 00:00     3.3623001158E+08 325.313533  40.880579
 2014-Jul-28 00:00     3.3495447218E+08 325.493554  40.769938
 2014-Jul-29 00:00     3.3367327391E+08 325.674351  40.658166
