*******************************************************************************
 2014-Oct-28 00:00     2.0112355044E+08   7.927524  15.293796
 2014-Oct-29 00:00     2.0085104003E+08   8.159259  14.793507
 2014-Oct-30 00:00     2.0057237737E+08   8.390566  14.291599
 2014-Oct-31 00:00     2.0028757118E+08   8.621496  13.788043
 2014-Nov-01 00:00     1.9999663052E+08   8.852098  13.282808
 2014-Nov-02 00:00     1.9969956478E+08   9.082422  12.775864
 2014-Nov-03 00:00     1.9939638372E+08   9.312519  12.267182
 2014-Nov-04 00:00     1.9908709749E+08   9.542439  11.756729
 2014-Nov-05 00:00     1.9877171659E+08   9.772233  11.244474
 2014-Nov-06 00:00     1.9845025193E+08  10.001951  10.730385
 2014-Nov-07 00:00     1.9812271484E+08  10.231643  10.214430
 2014-Nov-08 00:00     1.9778911704E+08  10.461361   9.696576
 2014-Nov-09 00:00     1.9744947073E+08  10.691157   9.176788
 2014-Nov-10 00:00     1.9710378852E+08  10.921081   8.655034
 2014-Nov-11 00:00     1.9675208351E+08  11.151187   8.131280
 2014-Nov-12 00:00     1.9639436926E+08  11.381527   7.605489
 2014-Nov-13 00:00     1.9603065985E+08  11.612153   7.077627
 2014-Nov-14 00:00     1.9566096986E+08  11.843120   6.547659
 2014-Nov-15 00:00     1.9528531440E+08  12.074483   6.015548
 2014-Nov-16 00:00     1.9490370913E+08  12.306295   5.481257
 2014-Nov-17 00:00     1.9451617028E+08  12.538614   4.944750
 2014-Nov-18 00:00     1.9412271466E+08  12.771495   4.405988
 2014-Nov-19 00:00     1.9372335968E+08  13.004997   3.864934
 2014-Nov-20 00:00     1.9331812339E+08  13.239177   3.321549
 2014-Nov-21 00:00     1.9290702447E+08  13.474095   2.775795
 2014-Nov-22 00:00     1.9249008227E+08  13.709813   2.227630
 2014-Nov-23 00:00     1.9206731683E+08  13.946391   1.677017
 2014-Nov-24 00:00     1.9163874892E+08  14.183892   1.123913
 2014-Nov-25 00:00     1.9120440002E+08  14.422382   0.568279
 2014-Nov-26 00:00     1.9076429239E+08  14.661925   0.010073
 2014-Nov-27 00:00     1.9031844905E+08  14.902590  -0.550748
 2014-Nov-28 00:00     1.8986689387E+08  15.144445  -1.114225
 2014-Nov-29 00:00     1.8940965152E+08  15.387560  -1.680401
 2014-Nov-30 00:00     1.8894674758E+08  15.632008  -2.249319
 2014-Dec-01 00:00     1.8847820848E+08  15.877863  -2.821023
 2014-Dec-02 00:00     1.8800406161E+08  16.125202  -3.395558
 2014-Dec-03 00:00     1.8752433530E+08  16.374103  -3.972967
 2014-Dec-04 00:00     1.8703905888E+08  16.624647  -4.553296
 2014-Dec-05 00:00     1.8654826269E+08  16.876916  -5.136590
 2014-Dec-06 00:00     1.8605197813E+08  17.130998  -5.722895
 2014-Dec-07 00:00     1.8555023768E+08  17.386979  -6.312256
