*******************************************************************************
 2014-Mar-18 00:00     4.6933525080E+08 183.089588   5.985158
 2014-Mar-19 00:00     4.6919569883E+08 183.136191   6.096937
 2014-Mar-20 00:00     4.6905375195E+08 183.182842   6.208780
 2014-Mar-21 00:00     4.6890940934E+08 183.229541   6.320687
 2014-Mar-22 00:00     4.6876267020E+08 183.276290   6.432659
 2014-Mar-23 00:00     4.6861353370E+08 183.323090   6.544699
 2014-Mar-24 00:00     4.6846199900E+08 183.369940   6.656806
 2014-Mar-25 00:00     4.6830806524E+08 183.416843   6.768981
 2014-Mar-26 00:00     4.6815173155E+08 183.463800   6.881227
 2014-Mar-27 00:00     4.6799299705E+08 183.510810   6.993545
 2014-Mar-28 00:00     4.6783186084E+08 183.557876   7.105934
 2014-Mar-29 00:00     4.6766832202E+08 183.604997   7.218397
 2014-Mar-30 00:00     4.6750237965E+08 183.652176   7.330935
 2014-Mar-31 00:00     4.6733403279E+08 183.699412   7.443548
 2014-Apr-01 00:00     4.6716328050E+08 183.746707   7.556239
 2014-Apr-02 00:00     4.6699012179E+08 183.794062   7.669007
 2014-Apr-03 00:00     4.6681455570E+08 183.841478   7.781855
 2014-Apr-04 00:00     4.6663658122E+08 183.888956   7.894783
 2014-Apr-05 00:00     4.6645619734E+08 183.936496   8.007793
 2014-Apr-06 00:00     4.6627340304E+08 183.984100   8.120885
 2014-Apr-07 00:00     4.6608819728E+08 184.031769   8.234062
 2014-Apr-08 00:00     4.6590057901E+08 184.079504   8.347323
 2014-Apr-09 00:00     4.6571054715E+08 184.127305   8.460671
 2014-Apr-10 00:00     4.6551810063E+08 184.175174   8.574107
 2014-Apr-11 00:00     4.6532323835E+08 184.223112   8.687631
 2014-Apr-12 00:00     4.6512595919E+08 184.271120   8.801245
 2014-Apr-13 00:00     4.6492626204E+08 184.319198   8.914950
 2014-Apr-14 00:00     4.6472414575E+08 184.367349   9.028747
 2014-Apr-15 00:00     4.6451960918E+08 184.415572   9.142638
 2014-Apr-16 00:00     4.6431265115E+08 184.463869   9.256624
 2014-Apr-17 00:00     4.6410327048E+08 184.512241   9.370706
 2014-Apr-18 00:00     4.6389146597E+08 184.560689   9.484884
 2014-Apr-19 00:00     4.6367723641E+08 184.609214   9.599162
 2014-Apr-20 00:00     4.6346058058E+08 184.657818   9.713539
 2014-Apr-21 00:00     4.6324149724E+08 184.706500   9.828016
 2014-Apr-22 00:00     4.6301998513E+08 184.755263   9.942596
 2014-Apr-23 00:00     4.6279604299E+08 184.804108  10.057280
 2014-Apr-24 00:00     4.6256966952E+08 184.853035  10.172068
 2014-Apr-25 00:00     4.6234086343E+08 184.902046  10.286961
 2014-Apr-26 00:00     4.6210962342E+08 184.951141  10.401962
 2014-Apr-27 00:00     4.6187594814E+08 185.000323  10.517072
 2014-Apr-28 00:00     4.6163983627E+08 185.049592  10.632291
 2014-Apr-29 00:00     4.6140128644E+08 185.098948  10.747621
 2014-Apr-30 00:00     4.6116029728E+08 185.148395  10.863064
 2014-May-01 00:00     4.6091686741E+08 185.197932  10.978619
 2014-May-02 00:00     4.6067099542E+08 185.247560  11.094290
 2014-May-03 00:00     4.6042267991E+08 185.297282  11.210077
 2014-May-04 00:00     4.6017191944E+08 185.347097  11.325982
 2014-May-05 00:00     4.5991871257E+08 185.397008  11.442005
 2014-May-06 00:00     4.5966305784E+08 185.447015  11.558149
 2014-May-07 00:00     4.5940495377E+08 185.497121  11.674413
 2014-May-08 00:00     4.5914439888E+08 185.547325  11.790801
