*******************************************************************************
 2014-Jul-03 00:00     1.6862246042E+08 153.061974 -42.667630
 2014-Jul-04 00:00     1.6755709775E+08 153.776574 -42.035611
 2014-Jul-05 00:00     1.6649147726E+08 154.485906 -41.391095
 2014-Jul-06 00:00     1.6542582239E+08 155.190112 -40.733945
 2014-Jul-07 00:00     1.6436036534E+08 155.889339 -40.064020
 2014-Jul-08 00:00     1.6329534738E+08 156.583739 -39.381177
 2014-Jul-09 00:00     1.6223101910E+08 157.273469 -38.685268
 2014-Jul-10 00:00     1.6116764078E+08 157.958694 -37.976146
 2014-Jul-11 00:00     1.6010548261E+08 158.639581 -37.253660
 2014-Jul-12 00:00     1.5904482506E+08 159.316302 -36.517657
 2014-Jul-13 00:00     1.5798595917E+08 159.989038 -35.767982
 2014-Jul-14 00:00     1.5692918682E+08 160.657969 -35.004479
 2014-Jul-15 00:00     1.5587482111E+08 161.323285 -34.226991
 2014-Jul-16 00:00     1.5482318660E+08 161.985179 -33.435359
 2014-Jul-17 00:00     1.5377461964E+08 162.643849 -32.629424
 2014-Jul-18 00:00     1.5272946866E+08 163.299498 -31.809027
 2014-Jul-19 00:00     1.5168809449E+08 163.952335 -30.974010
 2014-Jul-20 00:00     1.5065087058E+08 164.602575 -30.124216
 2014-Jul-21 00:00     1.4961818334E+08 165.250437 -29.259487
 2014-Jul-22 00:00     1.4859043237E+08 165.896146 -28.379670
 2014-Jul-23 00:00     1.4756803068E+08 166.539934 -27.484612
 2014-Jul-24 00:00     1.4655140497E+08 167.182040 -26.574167
 2014-Jul-25 00:00     1.4554099578E+08 167.822706 -25.648190
 2014-Jul-26 00:00     1.4453725769E+08 168.462185 -24.706541
 2014-Jul-27 00:00     1.4354065949E+08 169.100736 -23.749089
 2014-Jul-28 00:00     1.4255168428E+08 169.738623 -22.775706
 2014-Jul-29 00:00     1.4157082952E+08 170.376121 -21.786274
 2014-Jul-30 00:00     1.4059860714E+08 171.013513 -20.780684
 2014-Jul-31 00:00     1.3963554350E+08 171.651091 -19.758836
 2014-Aug-01 00:00     1.3868217930E+08 172.289155 -18.720643
 2014-Aug-02 00:00     1.3773906957E+08 172.928018 -17.666028
 2014-Aug-03 00:00     1.3680678338E+08 173.568001 -16.594932
 2014-Aug-04 00:00     1.3588590372E+08 174.209439 -15.507307
 2014-Aug-05 00:00     1.3497702710E+08 174.852678 -14.403125
 2014-Aug-06 00:00     1.3408076324E+08 175.498077 -13.282377
 2014-Aug-07 00:00     1.3319773459E+08 176.146010 -12.145071
 2014-Aug-08 00:00     1.3232857574E+08 176.796865 -10.991241
 2014-Aug-09 00:00     1.3147393282E+08 177.451049  -9.820943
 2014-Aug-10 00:00     1.3063446277E+08 178.108981  -8.634258
 2014-Aug-11 00:00     1.2981083244E+08 178.771104  -7.431295
 2014-Aug-12 00:00     1.2900371771E+08 179.437878  -6.212195
 2014-Aug-13 00:00     1.2821380235E+08 180.109784  -4.977127
 2014-Aug-14 00:00     1.2744177694E+08 180.787327  -3.726296
 2014-Aug-15 00:00     1.2668833747E+08 181.471036  -2.459941
 2014-Aug-16 00:00     1.2595418402E+08 182.161466  -1.178342
 2014-Aug-17 00:00     1.2524001918E+08 182.859201   0.118185
 2014-Aug-18 00:00     1.2454654640E+08 183.564854   1.429280
 2014-Aug-19 00:00     1.2387446825E+08 184.279071   2.754538
 2014-Aug-20 00:00     1.2322448450E+08 185.002534   4.093512
 2014-Aug-21 00:00     1.2259729017E+08 185.735961   5.445703
 2014-Aug-22 00:00     1.2199357340E+08 186.480111   6.810564
 2014-Aug-23 00:00     1.2141401329E+08 187.235785   8.187496
 2014-Aug-24 00:00     1.2085927762E+08 188.003832   9.575848
 2014-Aug-25 00:00     1.2033002047E+08 188.785150  10.974913
 2014-Aug-26 00:00     1.1982687988E+08 189.580691  12.383927
 2014-Aug-27 00:00     1.1935047534E+08 190.391465  13.802070
 2014-Aug-28 00:00     1.1890140532E+08 191.218541  15.228463
 2014-Aug-29 00:00     1.1848024484E+08 192.063058  16.662166
 2014-Aug-30 00:00     1.1808754290E+08 192.926223  18.102180
 2014-Aug-31 00:00     1.1772382013E+08 193.809320  19.547441
 2014-Sep-01 00:00     1.1738956633E+08 194.713714  20.996826
 2014-Sep-02 00:00     1.1708523820E+08 195.640855  22.449146
 2014-Sep-03 00:00     1.1681125708E+08 196.592289  23.903153
 2014-Sep-04 00:00     1.1656800694E+08 197.569658  25.357529
 2014-Sep-05 00:00     1.1635583233E+08 198.574707  26.810896
 2014-Sep-06 00:00     1.1617503668E+08 199.609294  28.261810
 2014-Sep-07 00:00     1.1602588067E+08 200.675392  29.708760
 2014-Sep-08 00:00     1.1590858085E+08 201.775097  31.150173
 2014-Sep-09 00:00     1.1582330848E+08 202.910630  32.584406
 2014-Sep-10 00:00     1.1577018856E+08 204.084346  34.009750
 2014-Sep-11 00:00     1.1574929920E+08 205.298735  35.424430
 2014-Sep-12 00:00     1.1576067114E+08 206.556424  36.826599
 2014-Sep-13 00:00     1.1580428762E+08 207.860178  38.214342
 2014-Sep-14 00:00     1.1588008445E+08 209.212896  39.585673
 2014-Sep-15 00:00     1.1598795037E+08 210.617609  40.938531
 2014-Sep-16 00:00     1.1612772765E+08 212.077464  42.270783
 2014-Sep-17 00:00     1.1629921299E+08 213.595714  43.580220
 2014-Sep-18 00:00     1.1650215857E+08 215.175692  44.864555
 2014-Sep-19 00:00     1.1673627342E+08 216.820785  46.121425
 2014-Sep-20 00:00     1.1700122494E+08 218.534388  47.348391
 2014-Sep-21 00:00     1.1729664060E+08 220.319860  48.542935
 2014-Sep-22 00:00     1.1762210991E+08 222.180454  49.702470
 2014-Sep-23 00:00     1.1797718639E+08 224.119241  50.824339
 2014-Sep-24 00:00     1.1836138983E+08 226.139016  51.905828
 2014-Sep-25 00:00     1.1877420851E+08 228.242184  52.944173
 2014-Sep-26 00:00     1.1921510162E+08 230.430635  53.936579
 2014-Sep-27 00:00     1.1968350163E+08 232.705600  54.880243
 2014-Sep-28 00:00     1.2017881685E+08 235.067497  55.772376
 2014-Sep-29 00:00     1.2070043382E+08 237.515770  56.610240
 2014-Sep-30 00:00     1.2124771986E+08 240.048729  57.391187
 2014-Oct-01 00:00     1.2182002548E+08 242.663406  58.112706
 2014-Oct-02 00:00     1.2241668685E+08 245.355422  58.772473
 2014-Oct-03 00:00     1.2303702811E+08 248.118910  59.368411
 2014-Oct-04 00:00     1.2368036372E+08 250.946477  59.898743
 2014-Oct-05 00:00     1.2434600061E+08 253.829231  60.362054
 2014-Oct-06 00:00     1.2503324037E+08 256.756894  60.757344
 2014-Oct-07 00:00     1.2574138121E+08 259.717973  61.084068
 2014-Oct-08 00:00     1.2646971991E+08 262.700026  61.342178
 2014-Oct-09 00:00     1.2721755361E+08 265.689973  61.532137
