*******************************************************************************
 2014-Jun-01 00:00     1.6145311220E+08  47.061354 -47.279085
 2014-Jun-02 00:00     1.6181217204E+08  48.028306 -47.808481
 2014-Jun-03 00:00     1.6216789020E+08  49.010634 -48.327309
 2014-Jun-04 00:00     1.6252020585E+08  50.008585 -48.835396
 2014-Jun-05 00:00     1.6286905960E+08  51.022384 -49.332560
 2014-Jun-06 00:00     1.6321439348E+08  52.052240 -49.818619
 2014-Jun-07 00:00     1.6355615095E+08  53.098338 -50.293383
 2014-Jun-08 00:00     1.6389427681E+08  54.160836 -50.756659
 2014-Jun-09 00:00     1.6422871725E+08  55.239867 -51.208250
 2014-Jun-10 00:00     1.6455941975E+08  56.335532 -51.647957
 2014-Jun-11 00:00     1.6488633310E+08  57.447900 -52.075576
 2014-Jun-12 00:00     1.6520940736E+08  58.577002 -52.490901
 2014-Jun-13 00:00     1.6552859385E+08  59.722833 -52.893725
 2014-Jun-14 00:00     1.6584384511E+08  60.885343 -53.283839
 2014-Jun-15 00:00     1.6615511485E+08  62.064441 -53.661034
 2014-Jun-16 00:00     1.6646235801E+08  63.259986 -54.025102
 2014-Jun-17 00:00     1.6676553064E+08  64.471790 -54.375833
 2014-Jun-18 00:00     1.6706458993E+08  65.699611 -54.713022
 2014-Jun-19 00:00     1.6735949419E+08  66.943154 -55.036467
 2014-Jun-20 00:00     1.6765020281E+08  68.202067 -55.345967
 2014-Jun-21 00:00     1.6793667625E+08  69.475943 -55.641330
 2014-Jun-22 00:00     1.6821887598E+08  70.764312 -55.922366
 2014-Jun-23 00:00     1.6849676455E+08  72.066647 -56.188895
 2014-Jun-24 00:00     1.6877030547E+08  73.382360 -56.440744
 2014-Jun-25 00:00     1.6903946324E+08  74.710804 -56.677750
 2014-Jun-26 00:00     1.6930420334E+08  76.051272 -56.899760
 2014-Jun-27 00:00     1.6956449218E+08  77.402998 -57.106633
 2014-Jun-28 00:00     1.6982029711E+08  78.765162 -57.298240
 2014-Jun-29 00:00     1.7007158636E+08  80.136887 -57.474468
 2014-Jun-30 00:00     1.7031832909E+08  81.517248 -57.635217
 2014-Jul-01 00:00     1.7056049529E+08  82.905272 -57.780403
 2014-Jul-02 00:00     1.7079805586E+08  84.299943 -57.909959
 2014-Jul-03 00:00     1.7103098248E+08  85.700206 -58.023835
 2014-Jul-04 00:00     1.7125924770E+08  87.104974 -58.122000
 2014-Jul-05 00:00     1.7148282486E+08  88.513133 -58.204440
 2014-Jul-06 00:00     1.7170168809E+08  89.923545 -58.271163
 2014-Jul-07 00:00     1.7191581232E+08  91.335062 -58.322192
 2014-Jul-08 00:00     1.7212517321E+08  92.746522 -58.357573
 2014-Jul-09 00:00     1.7232974721E+08  94.156766 -58.377369
 2014-Jul-10 00:00     1.7252951146E+08  95.564637 -58.381665
 2014-Jul-11 00:00     1.7272444388E+08  96.968991 -58.370561
 2014-Jul-12 00:00     1.7291452305E+08  98.368702 -58.344179
 2014-Jul-13 00:00     1.7309972827E+08  99.762667 -58.302657
 2014-Jul-14 00:00     1.7328003954E+08 101.149813 -58.246152
 2014-Jul-15 00:00     1.7345543750E+08 102.529106 -58.174834
 2014-Jul-16 00:00     1.7362590349E+08 103.899547 -58.088893
 2014-Jul-17 00:00     1.7379141949E+08 105.260186 -57.988529
 2014-Jul-18 00:00     1.7395196810E+08 106.610121 -57.873959
 2014-Jul-19 00:00     1.7410753259E+08 107.948500 -57.745410
 2014-Jul-20 00:00     1.7425809682E+08 109.274530 -57.603123
 2014-Jul-21 00:00     1.7440364529E+08 110.587471 -57.447344
 2014-Jul-22 00:00     1.7454416307E+08 111.886643 -57.278333
 2014-Jul-23 00:00     1.7467963585E+08 113.171425 -57.096355
 2014-Jul-24 00:00     1.7481004990E+08 114.441257 -56.901680
 2014-Jul-25 00:00     1.7493539207E+08 115.695637 -56.694586
 2014-Jul-26 00:00     1.7505564978E+08 116.934123 -56.475353
 2014-Jul-27 00:00     1.7517081100E+08 118.156330 -56.244264
 2014-Jul-28 00:00     1.7528086428E+08 119.361930 -56.001604
 2014-Jul-29 00:00     1.7538579869E+08 120.550649 -55.747660
 2014-Jul-30 00:00     1.7548560387E+08 121.722267 -55.482716
 2014-Jul-31 00:00     1.7558026998E+08 122.876614 -55.207058
 2014-Aug-01 00:00     1.7566978771E+08 124.013566 -54.920968
 2014-Aug-02 00:00     1.7575414828E+08 125.133047 -54.624726
 2014-Aug-03 00:00     1.7583334343E+08 126.235020 -54.318609
 2014-Aug-04 00:00     1.7590736542E+08 127.319492 -54.002889
 2014-Aug-05 00:00     1.7597620701E+08 128.386503 -53.677834
 2014-Aug-06 00:00     1.7603986146E+08 129.436129 -53.343708
 2014-Aug-07 00:00     1.7609832257E+08 130.468478 -53.000769
 2014-Aug-08 00:00     1.7615158458E+08 131.483685 -52.649268
 2014-Aug-09 00:00     1.7619964228E+08 132.481911 -52.289452
 2014-Aug-10 00:00     1.7624249092E+08 133.463342 -51.921559
 2014-Aug-11 00:00     1.7628012625E+08 134.428183 -51.545824
 2014-Aug-12 00:00     1.7631254451E+08 135.376660 -51.162472
 2014-Aug-13 00:00     1.7633974241E+08 136.309014 -50.771723
 2014-Aug-14 00:00     1.7636171717E+08 137.225499 -50.373790
 2014-Aug-15 00:00     1.7637846646E+08 138.126384 -49.968878
 2014-Aug-16 00:00     1.7638998845E+08 139.011947 -49.557187
 2014-Aug-17 00:00     1.7639628179E+08 139.882476 -49.138907
 2014-Aug-18 00:00     1.7639734560E+08 140.738266 -48.714225
 2014-Aug-19 00:00     1.7639317948E+08 141.579617 -48.283317
 2014-Aug-20 00:00     1.7638378352E+08 142.406834 -47.846355
 2014-Aug-21 00:00     1.7636915827E+08 143.220227 -47.403505
 2014-Aug-22 00:00     1.7634930478E+08 144.020106 -46.954923
 2014-Aug-23 00:00     1.7632422455E+08 144.806782 -46.500763
 2014-Aug-24 00:00     1.7629391959E+08 145.580570 -46.041168
 2014-Aug-25 00:00     1.7625839239E+08 146.341781 -45.576279
 2014-Aug-26 00:00     1.7621764590E+08 147.090726 -45.106228
 2014-Aug-27 00:00     1.7617168358E+08 147.827714 -44.631143
