*******************************************************************************
 2014-Mar-19 00:00     7.2487237552E+08  29.337246 -27.719338
 2014-Mar-20 00:00     7.2454973586E+08  29.367706 -27.760108
 2014-Mar-21 00:00     7.2422573708E+08  29.398212 -27.800910
 2014-Mar-22 00:00     7.2390037820E+08  29.428765 -27.841744
 2014-Mar-23 00:00     7.2357365824E+08  29.459364 -27.882611
 2014-Mar-24 00:00     7.2324557620E+08  29.490012 -27.923511
 2014-Mar-25 00:00     7.2291613109E+08  29.520707 -27.964444
 2014-Mar-26 00:00     7.2258532190E+08  29.551450 -28.005410
 2014-Mar-27 00:00     7.2225314764E+08  29.582243 -28.046410
 2014-Mar-28 00:00     7.2191960729E+08  29.613084 -28.087444
 2014-Mar-29 00:00     7.2158469983E+08  29.643975 -28.128512
 2014-Mar-30 00:00     7.2124842425E+08  29.674917 -28.169615
 2014-Mar-31 00:00     7.2091077951E+08  29.705909 -28.210753
 2014-Apr-01 00:00     7.2057176459E+08  29.736952 -28.251925
 2014-Apr-02 00:00     7.2023137844E+08  29.768046 -28.293133
 2014-Apr-03 00:00     7.1988962002E+08  29.799192 -28.334376
 2014-Apr-04 00:00     7.1954648829E+08  29.830391 -28.375655
 2014-Apr-05 00:00     7.1920198219E+08  29.861643 -28.416970
 2014-Apr-06 00:00     7.1885610066E+08  29.892948 -28.458321
 2014-Apr-07 00:00     7.1850884264E+08  29.924307 -28.499708
 2014-Apr-08 00:00     7.1816020706E+08  29.955720 -28.541131
 2014-Apr-09 00:00     7.1781019285E+08  29.987189 -28.582591
 2014-Apr-10 00:00     7.1745879891E+08  30.018712 -28.624088
 2014-Apr-11 00:00     7.1710602417E+08  30.050291 -28.665621
 2014-Apr-12 00:00     7.1675186754E+08  30.081927 -28.707192
 2014-Apr-13 00:00     7.1639632792E+08  30.113619 -28.748799
 2014-Apr-14 00:00     7.1603940420E+08  30.145369 -28.790444
 2014-Apr-15 00:00     7.1568109529E+08  30.177176 -28.832127
 2014-Apr-16 00:00     7.1532140005E+08  30.209041 -28.873847
 2014-Apr-17 00:00     7.1496031739E+08  30.240964 -28.915604
 2014-Apr-18 00:00     7.1459784616E+08  30.272947 -28.957400
 2014-Apr-19 00:00     7.1423398524E+08  30.304988 -28.999233
 2014-Apr-20 00:00     7.1386873350E+08  30.337090 -29.041104
 2014-Apr-21 00:00     7.1350208980E+08  30.369252 -29.083013
 2014-Apr-22 00:00     7.1313405298E+08  30.401474 -29.124961
 2014-Apr-23 00:00     7.1276462189E+08  30.433758 -29.166946
 2014-Apr-24 00:00     7.1239379537E+08  30.466103 -29.208970
 2014-Apr-25 00:00     7.1202157227E+08  30.498510 -29.251033
 2014-Apr-26 00:00     7.1164795141E+08  30.530979 -29.293134
 2014-Apr-27 00:00     7.1127293161E+08  30.563511 -29.335273
 2014-Apr-28 00:00     7.1089651169E+08  30.596106 -29.377452
 2014-Apr-29 00:00     7.1051869047E+08  30.628764 -29.419669
 2014-Apr-30 00:00     7.1013946675E+08  30.661486 -29.461925
 2014-May-01 00:00     7.0975883933E+08  30.694273 -29.504220
 2014-May-02 00:00     7.0937680701E+08  30.727124 -29.546555
 2014-May-03 00:00     7.0899336858E+08  30.760040 -29.588928
 2014-May-04 00:00     7.0860852281E+08  30.793021 -29.631342
 2014-May-05 00:00     7.0822226849E+08  30.826068 -29.673794
 2014-May-06 00:00     7.0783460439E+08  30.859181 -29.716286
 2014-May-07 00:00     7.0744552927E+08  30.892360 -29.758818
 2014-May-08 00:00     7.0705504189E+08  30.925606 -29.801390
 2014-May-09 00:00     7.0666314101E+08  30.958920 -29.844002
 2014-May-10 00:00     7.0626982537E+08  30.992301 -29.886653
 2014-May-11 00:00     7.0587509371E+08  31.025749 -29.929345
 2014-May-12 00:00     7.0547894477E+08  31.059266 -29.972078
 2014-May-13 00:00     7.0508137727E+08  31.092852 -30.014850
 2014-May-14 00:00     7.0468238995E+08  31.126506 -30.057664
 2014-May-15 00:00     7.0428198150E+08  31.160230 -30.100518
 2014-May-16 00:00     7.0388015066E+08  31.194023 -30.143413
 2014-May-17 00:00     7.0347689611E+08  31.227886 -30.186349
 2014-May-18 00:00     7.0307221656E+08  31.261820 -30.229326
 2014-May-19 00:00     7.0266611070E+08  31.295824 -30.272345
 2014-May-20 00:00     7.0225857721E+08  31.329900 -30.315405
 2014-May-21 00:00     7.0184961477E+08  31.364047 -30.358507
 2014-May-22 00:00     7.0143922206E+08  31.398266 -30.401650
 2014-May-23 00:00     7.0102739773E+08  31.432556 -30.444836
 2014-May-24 00:00     7.0061414046E+08  31.466920 -30.488064
 2014-May-25 00:00     7.0019944889E+08  31.501356 -30.531334
 2014-May-26 00:00     6.9978332167E+08  31.535866 -30.574646
 2014-May-27 00:00     6.9936575744E+08  31.570449 -30.618001
 2014-May-28 00:00     6.9894675483E+08  31.605106 -30.661400
 2014-May-29 00:00     6.9852631248E+08  31.639838 -30.704841
 2014-May-30 00:00     6.9810442900E+08  31.674644 -30.748325
 2014-May-31 00:00     6.9768110300E+08  31.709526 -30.791853
 2014-Jun-01 00:00     6.9725633309E+08  31.744483 -30.835424
 2014-Jun-02 00:00     6.9683011788E+08  31.779516 -30.879039
 2014-Jun-03 00:00     6.9640245596E+08  31.814625 -30.922698
 2014-Jun-04 00:00     6.9597334592E+08  31.849811 -30.966402
 2014-Jun-05 00:00     6.9554278633E+08  31.885074 -31.010149
 2014-Jun-06 00:00     6.9511077577E+08  31.920414 -31.053942
 2014-Jun-07 00:00     6.9467731281E+08  31.955833 -31.097779
 2014-Jun-08 00:00     6.9424239601E+08  31.991330 -31.141661
 2014-Jun-09 00:00     6.9380602392E+08  32.026905 -31.185588
 2014-Jun-10 00:00     6.9336819508E+08  32.062560 -31.229561
 2014-Jun-11 00:00     6.9292890805E+08  32.098294 -31.273579
 2014-Jun-12 00:00     6.9248816135E+08  32.134108 -31.317643
 2014-Jun-13 00:00     6.9204595350E+08  32.170002 -31.361753
 2014-Jun-14 00:00     6.9160228304E+08  32.205978 -31.405910
 2014-Jun-15 00:00     6.9115714846E+08  32.242034 -31.450112
 2014-Jun-16 00:00     6.9071054827E+08  32.278172 -31.494362
 2014-Jun-17 00:00     6.9026248097E+08  32.314393 -31.538659
 2014-Jun-18 00:00     6.8981294506E+08  32.350695 -31.583002
 2014-Jun-19 00:00     6.8936193901E+08  32.387081 -31.627393
 2014-Jun-20 00:00     6.8890946131E+08  32.423550 -31.671832
 2014-Jun-21 00:00     6.8845551042E+08  32.460103 -31.716319
 2014-Jun-22 00:00     6.8800008480E+08  32.496741 -31.760853
 2014-Jun-23 00:00     6.8754318291E+08  32.533463 -31.805436
 2014-Jun-24 00:00     6.8708480320E+08  32.570271 -31.850067
 2014-Jun-25 00:00     6.8662494410E+08  32.607164 -31.894747
 2014-Jun-26 00:00     6.8616360405E+08  32.644143 -31.939477
 2014-Jun-27 00:00     6.8570078148E+08  32.681210 -31.984255
 2014-Jun-28 00:00     6.8523647480E+08  32.718363 -32.029083
 2014-Jun-29 00:00     6.8477068243E+08  32.755604 -32.073960
 2014-Jun-30 00:00     6.8430340277E+08  32.792933 -32.118888
 2014-Jul-01 00:00     6.8383463420E+08  32.830351 -32.163866
 2014-Jul-02 00:00     6.8336437513E+08  32.867857 -32.208894
 2014-Jul-03 00:00     6.8289262394E+08  32.905454 -32.253973
 2014-Jul-04 00:00     6.8241937899E+08  32.943140 -32.299103
 2014-Jul-05 00:00     6.8194463865E+08  32.980917 -32.344284
 2014-Jul-06 00:00     6.8146840128E+08  33.018786 -32.389516
 2014-Jul-07 00:00     6.8099066523E+08  33.056746 -32.434801
 2014-Jul-08 00:00     6.8051142884E+08  33.094798 -32.480137
 2014-Jul-09 00:00     6.8003069044E+08  33.132942 -32.525525
 2014-Jul-10 00:00     6.7954844837E+08  33.171180 -32.570966
 2014-Jul-11 00:00     6.7906470095E+08  33.209512 -32.616459
 2014-Jul-12 00:00     6.7857944647E+08  33.247938 -32.662006
 2014-Jul-13 00:00     6.7809268326E+08  33.286459 -32.707606
 2014-Jul-14 00:00     6.7760440959E+08  33.325075 -32.753259
 2014-Jul-15 00:00     6.7711462377E+08  33.363788 -32.798966
 2014-Jul-16 00:00     6.7662332406E+08  33.402596 -32.844727
 2014-Jul-17 00:00     6.7613050874E+08  33.441502 -32.890542
 2014-Jul-18 00:00     6.7563617608E+08  33.480505 -32.936412
 2014-Jul-19 00:00     6.7514032432E+08  33.519607 -32.982337
 2014-Jul-20 00:00     6.7464295172E+08  33.558807 -33.028317
 2014-Jul-21 00:00     6.7414405652E+08  33.598107 -33.074352
 2014-Jul-22 00:00     6.7364363693E+08  33.637506 -33.120443
 2014-Jul-23 00:00     6.7314169120E+08  33.677006 -33.166590
 2014-Jul-24 00:00     6.7263821752E+08  33.716607 -33.212793
 2014-Jul-25 00:00     6.7213321411E+08  33.756310 -33.259052
 2014-Jul-26 00:00     6.7162667917E+08  33.796115 -33.305368
 2014-Jul-27 00:00     6.7111861087E+08  33.836023 -33.351741
 2014-Jul-28 00:00     6.7060900741E+08  33.876035 -33.398172
 2014-Jul-29 00:00     6.7009786695E+08  33.916151 -33.444660
 2014-Jul-30 00:00     6.6958518766E+08  33.956371 -33.491206
 2014-Jul-31 00:00     6.6907096770E+08  33.996697 -33.537810
 2014-Aug-01 00:00     6.6855520520E+08  34.037129 -33.584472
 2014-Aug-02 00:00     6.6803789830E+08  34.077667 -33.631193
 2014-Aug-03 00:00     6.6751904514E+08  34.118313 -33.677973
 2014-Aug-04 00:00     6.6699864383E+08  34.159067 -33.724813
 2014-Aug-05 00:00     6.6647669249E+08  34.199929 -33.771711
 2014-Aug-06 00:00     6.6595318922E+08  34.240901 -33.818670
 2014-Aug-07 00:00     6.6542813211E+08  34.281983 -33.865689
 2014-Aug-08 00:00     6.6490151924E+08  34.323175 -33.912769
 2014-Aug-09 00:00     6.6437334870E+08  34.364478 -33.959909
 2014-Aug-10 00:00     6.6384361854E+08  34.405894 -34.007110
 2014-Aug-11 00:00     6.6331232683E+08  34.447422 -34.054373
 2014-Aug-12 00:00     6.6277947162E+08  34.489063 -34.101697
 2014-Aug-13 00:00     6.6224505093E+08  34.530819 -34.149083
 2014-Aug-14 00:00     6.6170906281E+08  34.572689 -34.196531
 2014-Aug-15 00:00     6.6117150528E+08  34.614674 -34.244042
 2014-Aug-16 00:00     6.6063237635E+08  34.656776 -34.291616
 2014-Aug-17 00:00     6.6009167401E+08  34.698995 -34.339253
 2014-Aug-18 00:00     6.5954939626E+08  34.741331 -34.386953
 2014-Aug-19 00:00     6.5900554110E+08  34.783786 -34.434717
 2014-Aug-20 00:00     6.5846010648E+08  34.826359 -34.482545
 2014-Aug-21 00:00     6.5791309038E+08  34.869053 -34.530438
 2014-Aug-22 00:00     6.5736449075E+08  34.911867 -34.578395
 2014-Aug-23 00:00     6.5681430554E+08  34.954802 -34.626417
 2014-Aug-24 00:00     6.5626253267E+08  34.997860 -34.674505
 2014-Aug-25 00:00     6.5570917009E+08  35.041040 -34.722658
 2014-Aug-26 00:00     6.5515421571E+08  35.084344 -34.770877
 2014-Aug-27 00:00     6.5459766743E+08  35.127773 -34.819163
 2014-Aug-28 00:00     6.5403952315E+08  35.171326 -34.867515
 2014-Aug-29 00:00     6.5347978075E+08  35.215006 -34.915934
 2014-Aug-30 00:00     6.5291843813E+08  35.258813 -34.964421
 2014-Aug-31 00:00     6.5235549313E+08  35.302747 -35.012974
 2014-Sep-01 00:00     6.5179094363E+08  35.346809 -35.061596
 2014-Sep-02 00:00     6.5122478746E+08  35.391001 -35.110286
 2014-Sep-03 00:00     6.5065702247E+08  35.435323 -35.159045
 2014-Sep-04 00:00     6.5008764648E+08  35.479776 -35.207873
 2014-Sep-05 00:00     6.4951665732E+08  35.524361 -35.256769
 2014-Sep-06 00:00     6.4894405277E+08  35.569078 -35.305736
 2014-Sep-07 00:00     6.4836983065E+08  35.613929 -35.354772
 2014-Sep-08 00:00     6.4779398874E+08  35.658914 -35.403879
 2014-Sep-09 00:00     6.4721652482E+08  35.704035 -35.453056
 2014-Sep-10 00:00     6.4663743664E+08  35.749292 -35.502304
 2014-Sep-11 00:00     6.4605672197E+08  35.794685 -35.551623
 2014-Sep-12 00:00     6.4547437855E+08  35.840217 -35.601014
 2014-Sep-13 00:00     6.4489040410E+08  35.885887 -35.650477
 2014-Sep-14 00:00     6.4430479637E+08  35.931698 -35.700013
 2014-Sep-15 00:00     6.4371755305E+08  35.977648 -35.749621
 2014-Sep-16 00:00     6.4312867185E+08  36.023741 -35.799302
 2014-Sep-17 00:00     6.4253815046E+08  36.069976 -35.849056
 2014-Sep-18 00:00     6.4194598655E+08  36.116354 -35.898884
 2014-Sep-19 00:00     6.4135217780E+08  36.162877 -35.948787
 2014-Sep-20 00:00     6.4075672187E+08  36.209545 -35.998763
 2014-Sep-21 00:00     6.4015961640E+08  36.256360 -36.048815
 2014-Sep-22 00:00     6.3956085903E+08  36.303322 -36.098941
 2014-Sep-23 00:00     6.3896044737E+08  36.350432 -36.149144
 2014-Sep-24 00:00     6.3835837905E+08  36.397691 -36.199422
 2014-Sep-25 00:00     6.3775465167E+08  36.445101 -36.249776
 2014-Sep-26 00:00     6.3714926281E+08  36.492663 -36.300207
 2014-Sep-27 00:00     6.3654221006E+08  36.540376 -36.350715
 2014-Sep-28 00:00     6.3593349098E+08  36.588243 -36.401301
 2014-Sep-29 00:00     6.3532310313E+08  36.636265 -36.451964
 2014-Sep-30 00:00     6.3471104405E+08  36.684442 -36.502706
 2014-Oct-01 00:00     6.3409731127E+08  36.732775 -36.553525
 2014-Oct-02 00:00     6.3348190233E+08  36.781266 -36.604424
 2014-Oct-03 00:00     6.3286481471E+08  36.829916 -36.655402
 2014-Oct-04 00:00     6.3224604593E+08  36.878726 -36.706460
