*******************************************************************************
 2014-Mar-18 00:00     2.0894516761E+08  43.854180 -45.889608
 2014-Mar-19 00:00     2.0972571762E+08  44.458580 -46.290590
 2014-Mar-20 00:00     2.1050500981E+08  45.067280 -46.685403
 2014-Mar-21 00:00     2.1128297526E+08  45.680317 -47.074067
 2014-Mar-22 00:00     2.1205954675E+08  46.297728 -47.456596
 2014-Mar-23 00:00     2.1283465877E+08  46.919544 -47.833010
 2014-Mar-24 00:00     2.1360824746E+08  47.545796 -48.203323
 2014-Mar-25 00:00     2.1438025059E+08  48.176509 -48.567551
 2014-Mar-26 00:00     2.1515060751E+08  48.811706 -48.925710
 2014-Mar-27 00:00     2.1591925911E+08  49.451405 -49.277813
 2014-Mar-28 00:00     2.1668614781E+08  50.095622 -49.623876
 2014-Mar-29 00:00     2.1745121747E+08  50.744368 -49.963912
 2014-Mar-30 00:00     2.1821441342E+08  51.397650 -50.297934
 2014-Mar-31 00:00     2.1897568239E+08  52.055471 -50.625955
 2014-Apr-01 00:00     2.1973497249E+08  52.717828 -50.947988
 2014-Apr-02 00:00     2.2049223316E+08  53.384718 -51.264046
 2014-Apr-03 00:00     2.2124741516E+08  54.056128 -51.574139
 2014-Apr-04 00:00     2.2200047053E+08  54.732044 -51.878280
 2014-Apr-05 00:00     2.2275135255E+08  55.412446 -52.176481
 2014-Apr-06 00:00     2.2350001573E+08  56.097309 -52.468754
 2014-Apr-07 00:00     2.2424641576E+08  56.786603 -52.755108
 2014-Apr-08 00:00     2.2499050948E+08  57.480293 -53.035556
 2014-Apr-09 00:00     2.2573225489E+08  58.178338 -53.310109
 2014-Apr-10 00:00     2.2647161109E+08  58.880693 -53.578779
 2014-Apr-11 00:00     2.2720853822E+08  59.587306 -53.841576
 2014-Apr-12 00:00     2.2794299753E+08  60.298121 -54.098513
 2014-Apr-13 00:00     2.2867495124E+08  61.013075 -54.349600
 2014-Apr-14 00:00     2.2940436261E+08  61.732101 -54.594851
 2014-Apr-15 00:00     2.3013119587E+08  62.455124 -54.834277
 2014-Apr-16 00:00     2.3085541618E+08  63.182066 -55.067891
 2014-Apr-17 00:00     2.3157698965E+08  63.912841 -55.295706
 2014-Apr-18 00:00     2.3229588329E+08  64.647359 -55.517735
 2014-Apr-19 00:00     2.3301206499E+08  65.385522 -55.733992
 2014-Apr-20 00:00     2.3372550349E+08  66.127228 -55.944493
 2014-Apr-21 00:00     2.3443616840E+08  66.872369 -56.149251
 2014-Apr-22 00:00     2.3514403013E+08  67.620832 -56.348284
 2014-Apr-23 00:00     2.3584905987E+08  68.372497 -56.541607
 2014-Apr-24 00:00     2.3655122963E+08  69.127240 -56.729237
 2014-Apr-25 00:00     2.3725051214E+08  69.884930 -56.911194
 2014-Apr-26 00:00     2.3794688089E+08  70.645432 -57.087495
 2014-Apr-27 00:00     2.3864031008E+08  71.408606 -57.258161
 2014-Apr-28 00:00     2.3933077462E+08  72.174305 -57.423212
 2014-Apr-29 00:00     2.4001825012E+08  72.942380 -57.582671
 2014-Apr-30 00:00     2.4070271282E+08  73.712676 -57.736560
 2014-May-01 00:00     2.4138413964E+08  74.485033 -57.884904
 2014-May-02 00:00     2.4206250813E+08  75.259288 -58.027726
 2014-May-03 00:00     2.4273779646E+08  76.035273 -58.165054
 2014-May-04 00:00     2.4340998338E+08  76.812817 -58.296915
