*******************************************************************************
 2014-Mar-30 00:00     1.6565893045E+08 232.497757  61.374849
 2014-Mar-31 00:00     1.6585509586E+08 233.793961  61.784613
 2014-Apr-01 00:00     1.6604302722E+08 235.121549  62.180940
 2014-Apr-02 00:00     1.6622271200E+08 236.480791  62.563415
 2014-Apr-03 00:00     1.6639413837E+08 237.871855  62.931610
 2014-Apr-04 00:00     1.6655729520E+08 239.294793  63.285088
 2014-Apr-05 00:00     1.6671217200E+08 240.749529  63.623405
 2014-Apr-06 00:00     1.6685875894E+08 242.235844  63.946110
 2014-Apr-07 00:00     1.6699704683E+08 243.753366  64.252752
 2014-Apr-08 00:00     1.6712702707E+08 245.301558  64.542876
 2014-Apr-09 00:00     1.6724869169E+08 246.879708  64.816031
 2014-Apr-10 00:00     1.6736203328E+08 248.486916  65.071772
 2014-Apr-11 00:00     1.6746704505E+08 250.122093  65.309663
 2014-Apr-12 00:00     1.6756372073E+08 251.783951  65.529282
 2014-Apr-13 00:00     1.6765205463E+08 253.471000  65.730222
 2014-Apr-14 00:00     1.6773204161E+08 255.181553  65.912100
 2014-Apr-15 00:00     1.6780367707E+08 256.913728  66.074554
 2014-Apr-16 00:00     1.6786695691E+08 258.665452  66.217255
 2014-Apr-17 00:00     1.6792187760E+08 260.434477  66.339903
 2014-Apr-18 00:00     1.6796843608E+08 262.218390  66.442237
 2014-Apr-19 00:00     1.6800662985E+08 264.014638  66.524033
 2014-Apr-20 00:00     1.6803645689E+08 265.820542  66.585111
 2014-Apr-21 00:00     1.6805791568E+08 267.633327  66.625334
 2014-Apr-22 00:00     1.6807100523E+08 269.450148  66.644614
 2014-Apr-23 00:00     1.6807572502E+08 271.268115  66.642909
 2014-Apr-24 00:00     1.6807207504E+08 273.084330  66.620223
 2014-Apr-25 00:00     1.6806005579E+08 274.895910  66.576613
 2014-Apr-26 00:00     1.6803966826E+08 276.700022  66.512179
 2014-Apr-27 00:00     1.6801091394E+08 278.493908  66.427070
 2014-Apr-28 00:00     1.6797379481E+08 280.274914  66.321478
 2014-Apr-29 00:00     1.6792831339E+08 282.040512  66.195637
 2014-Apr-30 00:00     1.6787447267E+08 283.788324  66.049818
