*******************************************************************************
 2014-Apr-03 00:00     4.5566533983E+08  51.599610 -52.633809
 2014-Apr-04 00:00     4.5558782249E+08  51.802336 -52.747724
 2014-Apr-05 00:00     4.5550942200E+08  52.006192 -52.861330
 2014-Apr-06 00:00     4.5543013873E+08  52.211188 -52.974625
 2014-Apr-07 00:00     4.5534997304E+08  52.417332 -53.087604
 2014-Apr-08 00:00     4.5526892529E+08  52.624633 -53.200265
 2014-Apr-09 00:00     4.5518699584E+08  52.833099 -53.312604
 2014-Apr-10 00:00     4.5510418508E+08  53.042739 -53.424619
 2014-Apr-11 00:00     4.5502049339E+08  53.253561 -53.536305
 2014-Apr-12 00:00     4.5493592114E+08  53.465576 -53.647659
 2014-Apr-13 00:00     4.5485046872E+08  53.678791 -53.758679
 2014-Apr-14 00:00     4.5476413654E+08  53.893215 -53.869359
 2014-Apr-15 00:00     4.5467692498E+08  54.108857 -53.979697
 2014-Apr-16 00:00     4.5458883444E+08  54.325726 -54.089690
 2014-Apr-17 00:00     4.5449986535E+08  54.543830 -54.199332
 2014-Apr-18 00:00     4.5441001810E+08  54.763180 -54.308622
 2014-Apr-19 00:00     4.5431929313E+08  54.983782 -54.417555
 2014-Apr-20 00:00     4.5422769084E+08  55.205647 -54.526127
 2014-Apr-21 00:00     4.5413521166E+08  55.428783 -54.634334
 2014-Apr-22 00:00     4.5404185603E+08  55.653199 -54.742173
 2014-Apr-23 00:00     4.5394762439E+08  55.878904 -54.849640
 2014-Apr-24 00:00     4.5385251717E+08  56.105907 -54.956730
 2014-Apr-25 00:00     4.5375653483E+08  56.334217 -55.063440
 2014-Apr-26 00:00     4.5365967781E+08  56.563843 -55.169766
 2014-Apr-27 00:00     4.5356194657E+08  56.794793 -55.275703
 2014-Apr-28 00:00     4.5346334157E+08  57.027077 -55.381247
 2014-Apr-29 00:00     4.5336386329E+08  57.260703 -55.486394
 2014-Apr-30 00:00     4.5326351218E+08  57.495680 -55.591141
 2014-May-01 00:00     4.5316228874E+08  57.732017 -55.695481
 2014-May-02 00:00     4.5306019344E+08  57.969723 -55.799412
 2014-May-03 00:00     4.5295722676E+08  58.208807 -55.902929
 2014-May-04 00:00     4.5285338921E+08  58.449277 -56.006026
 2014-May-05 00:00     4.5274868128E+08  58.691142 -56.108701
 2014-May-06 00:00     4.5264310346E+08  58.934411 -56.210948
 2014-May-07 00:00     4.5253665628E+08  59.179092 -56.312762
 2014-May-08 00:00     4.5242934024E+08  59.425195 -56.414139
 2014-May-09 00:00     4.5232115586E+08  59.672727 -56.515074
 2014-May-10 00:00     4.5221210367E+08  59.921697 -56.615562
 2014-May-11 00:00     4.5210218419E+08  60.172114 -56.715599
 2014-May-12 00:00     4.5199139797E+08  60.423986 -56.815180
 2014-May-13 00:00     4.5187974553E+08  60.677322 -56.914299
 2014-May-14 00:00     4.5176722743E+08  60.932129 -57.012951
 2014-May-15 00:00     4.5165384422E+08  61.188416 -57.111133
 2014-May-16 00:00     4.5153959645E+08  61.446191 -57.208837
 2014-May-17 00:00     4.5142448468E+08  61.705463 -57.306061
 2014-May-18 00:00     4.5130850949E+08  61.966238 -57.402797
 2014-May-19 00:00     4.5119167144E+08  62.228526 -57.499041
 2014-May-20 00:00     4.5107397112E+08  62.492334 -57.594788
 2014-May-21 00:00     4.5095540910E+08  62.757669 -57.690031
 2014-May-22 00:00     4.5083598598E+08  63.024539 -57.784767
 2014-May-23 00:00     4.5071570236E+08  63.292953 -57.878989
 2014-May-24 00:00     4.5059455883E+08  63.562916 -57.972691
 2014-May-25 00:00     4.5047255600E+08  63.834437 -58.065869
 2014-May-26 00:00     4.5034969448E+08  64.107522 -58.158516
 2014-May-27 00:00     4.5022597490E+08  64.382179 -58.250627
 2014-May-28 00:00     4.5010139787E+08  64.658415 -58.342196
 2014-May-29 00:00     4.4997596403E+08  64.936235 -58.433217
 2014-May-30 00:00     4.4984967401E+08  65.215648 -58.523684
 2014-May-31 00:00     4.4972252846E+08  65.496659 -58.613592
 2014-Jun-01 00:00     4.4959452802E+08  65.779275 -58.702934
 2014-Jun-02 00:00     4.4946567334E+08  66.063501 -58.791705
 2014-Jun-03 00:00     4.4933596509E+08  66.349344 -58.879898
 2014-Jun-04 00:00     4.4920540392E+08  66.636810 -58.967508
 2014-Jun-05 00:00     4.4907399052E+08  66.925904 -59.054527
 2014-Jun-06 00:00     4.4894172556E+08  67.216631 -59.140951
 2014-Jun-07 00:00     4.4880860972E+08  67.508997 -59.226772
 2014-Jun-08 00:00     4.4867464370E+08  67.803007 -59.311984
 2014-Jun-09 00:00     4.4853982818E+08  68.098665 -59.396582
 2014-Jun-10 00:00     4.4840416388E+08  68.395977 -59.480557
 2014-Jun-11 00:00     4.4826765149E+08  68.694946 -59.563905
 2014-Jun-12 00:00     4.4813029174E+08  68.995577 -59.646618
 2014-Jun-13 00:00     4.4799208535E+08  69.297873 -59.728690
 2014-Jun-14 00:00     4.4785303304E+08  69.601838 -59.810115
 2014-Jun-15 00:00     4.4771313555E+08  69.907476 -59.890885
 2014-Jun-16 00:00     4.4757239361E+08  70.214790 -59.970994
 2014-Jun-17 00:00     4.4743080798E+08  70.523782 -60.050435
 2014-Jun-18 00:00     4.4728837941E+08  70.834455 -60.129201
 2014-Jun-19 00:00     4.4714510865E+08  71.146811 -60.207286
 2014-Jun-20 00:00     4.4700099648E+08  71.460853 -60.284683
 2014-Jun-21 00:00     4.4685604366E+08  71.776582 -60.361384
 2014-Jun-22 00:00     4.4671025097E+08  72.093999 -60.437383
 2014-Jun-23 00:00     4.4656361921E+08  72.413106 -60.512673
 2014-Jun-24 00:00     4.4641614915E+08  72.733903 -60.587247
 2014-Jun-25 00:00     4.4626784162E+08  73.056390 -60.661097
 2014-Jun-26 00:00     4.4611869740E+08  73.380568 -60.734217
 2014-Jun-27 00:00     4.4596871731E+08  73.706436 -60.806599
 2014-Jun-28 00:00     4.4581790217E+08  74.033994 -60.878237
 2014-Jun-29 00:00     4.4566625281E+08  74.363241 -60.949122
 2014-Jun-30 00:00     4.4551377006E+08  74.694175 -61.019248
 2014-Jul-01 00:00     4.4536045476E+08  75.026795 -61.088608
 2014-Jul-02 00:00     4.4520630776E+08  75.361098 -61.157194
 2014-Jul-03 00:00     4.4505132991E+08  75.697082 -61.224999
 2014-Jul-04 00:00     4.4489552207E+08  76.034743 -61.292015
 2014-Jul-05 00:00     4.4473888512E+08  76.374080 -61.358236
 2014-Jul-06 00:00     4.4458141993E+08  76.715087 -61.423653
 2014-Jul-07 00:00     4.4442312737E+08  77.057760 -61.488260
 2014-Jul-08 00:00     4.4426400835E+08  77.402096 -61.552048
 2014-Jul-09 00:00     4.4410406375E+08  77.748088 -61.615011
 2014-Jul-10 00:00     4.4394329449E+08  78.095731 -61.677142
 2014-Jul-11 00:00     4.4378170147E+08  78.445020 -61.738432
 2014-Jul-12 00:00     4.4361928561E+08  78.795947 -61.798874
 2014-Jul-13 00:00     4.4345604784E+08  79.148507 -61.858460
 2014-Jul-14 00:00     4.4329198910E+08  79.502690 -61.917184
 2014-Jul-15 00:00     4.4312711032E+08  79.858491 -61.975038
 2014-Jul-16 00:00     4.4296141245E+08  80.215900 -62.032013
 2014-Jul-17 00:00     4.4279489646E+08  80.574908 -62.088104
 2014-Jul-18 00:00     4.4262756330E+08  80.935506 -62.143302
 2014-Jul-19 00:00     4.4245941394E+08  81.297684 -62.197599
 2014-Jul-20 00:00     4.4229044938E+08  81.661432 -62.250989
 2014-Jul-21 00:00     4.4212067058E+08  82.026739 -62.303464
 2014-Jul-22 00:00     4.4195007855E+08  82.393593 -62.355016
 2014-Jul-23 00:00     4.4177867430E+08  82.761983 -62.405638
 2014-Jul-24 00:00     4.4160645883E+08  83.131895 -62.455322
 2014-Jul-25 00:00     4.4143343315E+08  83.503318 -62.504062
 2014-Jul-26 00:00     4.4125959831E+08  83.876238 -62.551849
 2014-Jul-27 00:00     4.4108495533E+08  84.250640 -62.598677
 2014-Jul-28 00:00     4.4090950525E+08  84.626510 -62.644539
 2014-Jul-29 00:00     4.4073324913E+08  85.003832 -62.689426
 2014-Jul-30 00:00     4.4055618803E+08  85.382592 -62.733331
 2014-Jul-31 00:00     4.4037832301E+08  85.762772 -62.776249
 2014-Aug-01 00:00     4.4019965514E+08  86.144357 -62.818170
 2014-Aug-02 00:00     4.4002018552E+08  86.527328 -62.859089
 2014-Aug-03 00:00     4.3983991524E+08  86.911668 -62.898998
 2014-Aug-04 00:00     4.3965884539E+08  87.297359 -62.937890
 2014-Aug-05 00:00     4.3947697708E+08  87.684381 -62.975758
 2014-Aug-06 00:00     4.3929431143E+08  88.072715 -63.012595
 2014-Aug-07 00:00     4.3911084958E+08  88.462341 -63.048395
 2014-Aug-08 00:00     4.3892659264E+08  88.853239 -63.083150
 2014-Aug-09 00:00     4.3874154178E+08  89.245386 -63.116854
 2014-Aug-10 00:00     4.3855569813E+08  89.638763 -63.149500
 2014-Aug-11 00:00     4.3836906286E+08  90.033345 -63.181081
 2014-Aug-12 00:00     4.3818163714E+08  90.429112 -63.211592
 2014-Aug-13 00:00     4.3799342215E+08  90.826039 -63.241025
 2014-Aug-14 00:00     4.3780441907E+08  91.224102 -63.269375
 2014-Aug-15 00:00     4.3761462910E+08  91.623278 -63.296634
 2014-Aug-16 00:00     4.3742405346E+08  92.023542 -63.322797
 2014-Aug-17 00:00     4.3723269334E+08  92.424868 -63.347857
 2014-Aug-18 00:00     4.3704054998E+08  92.827231 -63.371810
 2014-Aug-19 00:00     4.3684762461E+08  93.230605 -63.394647
 2014-Aug-20 00:00     4.3665391847E+08  93.634962 -63.416365
 2014-Aug-21 00:00     4.3645943281E+08  94.040276 -63.436957
 2014-Aug-22 00:00     4.3626416890E+08  94.446519 -63.456417
 2014-Aug-23 00:00     4.3606812799E+08  94.853664 -63.474739
 2014-Aug-24 00:00     4.3587131139E+08  95.261680 -63.491920
 2014-Aug-25 00:00     4.3567372036E+08  95.670541 -63.507952
 2014-Aug-26 00:00     4.3547535622E+08  96.080215 -63.522831
 2014-Aug-27 00:00     4.3527622026E+08  96.490674 -63.536552
 2014-Aug-28 00:00     4.3507631381E+08  96.901888 -63.549110
 2014-Aug-29 00:00     4.3487563820E+08  97.313826 -63.560500
 2014-Aug-30 00:00     4.3467419477E+08  97.726457 -63.570717
 2014-Aug-31 00:00     4.3447198485E+08  98.139750 -63.579757
 2014-Sep-01 00:00     4.3426900981E+08  98.553674 -63.587614
 2014-Sep-02 00:00     4.3406527102E+08  98.968197 -63.594286
 2014-Sep-03 00:00     4.3386076985E+08  99.383286 -63.599767
 2014-Sep-04 00:00     4.3365550770E+08  99.798909 -63.604053
 2014-Sep-05 00:00     4.3344948595E+08 100.215034 -63.607141
 2014-Sep-06 00:00     4.3324270603E+08 100.631628 -63.609026
 2014-Sep-07 00:00     4.3303516933E+08 101.048657 -63.609705
 2014-Sep-08 00:00     4.3282687731E+08 101.466088 -63.609175
 2014-Sep-09 00:00     4.3261783139E+08 101.883888 -63.607431
 2014-Sep-10 00:00     4.3240803302E+08 102.302023 -63.604471
 2014-Sep-11 00:00     4.3219748367E+08 102.720459 -63.600292
 2014-Sep-12 00:00     4.3198618480E+08 103.139161 -63.594890
 2014-Sep-13 00:00     4.3177413790E+08 103.558097 -63.588263
 2014-Sep-14 00:00     4.3156134446E+08 103.977230 -63.580408
 2014-Sep-15 00:00     4.3134780598E+08 104.396528 -63.571322
 2014-Sep-16 00:00     4.3113352398E+08 104.815955 -63.561003
 2014-Sep-17 00:00     4.3091849998E+08 105.235477 -63.549449
 2014-Sep-18 00:00     4.3070273552E+08 105.655059 -63.536658
 2014-Sep-19 00:00     4.3048623214E+08 106.074668 -63.522627
 2014-Sep-20 00:00     4.3026899140E+08 106.494267 -63.507355
 2014-Sep-21 00:00     4.3005101488E+08 106.913823 -63.490841
 2014-Sep-22 00:00     4.2983230415E+08 107.333302 -63.473082
 2014-Sep-23 00:00     4.2961286081E+08 107.752668 -63.454078
 2014-Sep-24 00:00     4.2939268646E+08 108.171887 -63.433826
 2014-Sep-25 00:00     4.2917178271E+08 108.590926 -63.412327
 2014-Sep-26 00:00     4.2895015119E+08 109.009749 -63.389580
 2014-Sep-27 00:00     4.2872779354E+08 109.428323 -63.365582
 2014-Sep-28 00:00     4.2850471141E+08 109.846614 -63.340335
 2014-Sep-29 00:00     4.2828090646E+08 110.264588 -63.313837
 2014-Sep-30 00:00     4.2805638036E+08 110.682212 -63.286088
 2014-Oct-01 00:00     4.2783113480E+08 111.099453 -63.257088
 2014-Oct-02 00:00     4.2760517148E+08 111.516276 -63.226838
 2014-Oct-03 00:00     4.2737849211E+08 111.932650 -63.195336
 2014-Oct-04 00:00     4.2715109840E+08 112.348542 -63.162584
 2014-Oct-05 00:00     4.2692299209E+08 112.763919 -63.128582
 2014-Oct-06 00:00     4.2669417494E+08 113.178749 -63.093330
 2014-Oct-07 00:00     4.2646464868E+08 113.593001 -63.056829
 2014-Oct-08 00:00     4.2623441511E+08 114.006644 -63.019081
 2014-Oct-09 00:00     4.2600347599E+08 114.419645 -62.980085
 2014-Oct-10 00:00     4.2577183314E+08 114.831974 -62.939844
 2014-Oct-11 00:00     4.2553948834E+08 115.243602 -62.898358
 2014-Oct-12 00:00     4.2530644344E+08 115.654497 -62.855629
 2014-Oct-13 00:00     4.2507270025E+08 116.064631 -62.811658
 2014-Oct-14 00:00     4.2483826063E+08 116.473973 -62.766447
 2014-Oct-15 00:00     4.2460312644E+08 116.882496 -62.719998
 2014-Oct-16 00:00     4.2436729954E+08 117.290170 -62.672313
 2014-Oct-17 00:00     4.2413078184E+08 117.696969 -62.623394
 2014-Oct-18 00:00     4.2389357521E+08 118.102863 -62.573243
 2014-Oct-19 00:00     4.2365568159E+08 118.507827 -62.521862
 2014-Oct-20 00:00     4.2341710289E+08 118.911833 -62.469254
 2014-Oct-21 00:00     4.2317784105E+08 119.314856 -62.415421
 2014-Oct-22 00:00     4.2293789803E+08 119.716870 -62.360366
 2014-Oct-23 00:00     4.2269727579E+08 120.117850 -62.304091
 2014-Oct-24 00:00     4.2245597631E+08 120.517771 -62.246600
 2014-Oct-25 00:00     4.2221400159E+08 120.916608 -62.187895
 2014-Oct-26 00:00     4.2197135363E+08 121.314339 -62.127980
